Model ID,Model name,Model architecture,Model size,Number of parameters,Domain adaptation,Model type,Shots strategy
bert-base,BERT base,Encoder-only,Million params.,108310272,Generalist,Open-source,
bert-large,BERT large,Encoder-only,Million params.,333579264,Generalist,Open-source,
roberta-base,RoBERTa base,Encoder-only,Million params.,124645632,Generalist,Open-source,
roberta-large,RoBERTa large,Encoder-only,Million params.,355359744,Generalist,Open-source,
modernbert-base,ModernBERT base,Encoder-only,Million params.,149014272,Generalist,Open-source,
modernbert-large,ModernBERT large,Encoder-only,Million params.,394781696,Generalist,Open-source,
gpt2-small,GPT-2 small,Decoder-only,Million params.,124439808,Generalist,Open-source,
gpt2-medium,GPT-2 medium,Decoder-only,Million params.,354823168,Generalist,Open-source,
gpt2-large,GPT-2 large,Decoder-only,Million params.,774030080,Generalist,Open-source,
gpt2-xl,GPT-2 xl,Decoder-only,Billion params.,1557611200,Generalist,Open-source,
llama3.2-1b,Llama 3.2 1B,Decoder-only,Billion params.,1235814400,Generalist,Open-source,
llama3.2-3b,Llama 3.2 3B,Decoder-only,Billion params.,3212749824,Generalist,Open-source,
t5-small,T5 small,Encoder-decoder,Million params.,60506624,Generalist,Open-source,
t5-base,T5 base,Encoder-decoder,Million params.,222903552,Generalist,Open-source,
t5-large,T5 large,Encoder-decoder,Million params.,737668096,Generalist,Open-source,
t5-3b,T5 3B,Encoder-decoder,Billion params.,2851598336,Generalist,Open-source,
codebert-base,CodeBERT base,Encoder-only,Million params.,124645632,Domain-adapted,Open-source,
codellama-7b,CodeLlama 7B,Decoder-only,Billion params.,6607409152,Domain-adapted,Open-source,
starcoder2-3b,StarCoder2 3B,Decoder-only,Billion params.,3030371328,Domain-adapted,Open-source,
starcoder2-7b,StarCoder2 7B,Decoder-only,Billion params.,7173923840,Domain-adapted,Open-source,
codet5p-220m,CodeT5+ 220M,Encoder-decoder,Million params.,222882048,Domain-adapted,Open-source,
codet5p-770m,CodeT5+ 770M,Encoder-decoder,Million params.,737639424,Domain-adapted,Open-source,
gpt-4o-2024-08-06,GPT-4o (zero-shot),Decoder-only,,,Generalist,Proprietary,zero-shot
claude-3-7-sonnet-20250219,Claude 3.7 (zero-shot),Decoder-only,,,Generalist,Proprietary,zero-shot
gpt-4o-2024-08-06,GPT-4o (3-shot),Decoder-only,,,Generalist,Proprietary,3-shot
claude-3-7-sonnet-20250219,Claude 3.7 (3-shot),Decoder-only,,,Generalist,Proprietary,3-shot
xgboost,TF-IDF+XGBoost,,,,,Baseline,
fasttext,FastText,,,,,Baseline,
