,0,1,2
2,7554550,8068686,2009089
11,5538942,7731762,11300889
16,791834,9381884,9812190
17,10718770,2998273,8594185
19,7297871,7393383,6511598
20,9749026,9868796,3131133
22,9477649,9667649,10749015
26,11732228,5545490,5168840
34,8982850,10207629,8946470
46,3795360,11680056,3484346
51,7306076,10152509,8288717
57,11495843,6903825,6091070
64,326379,10993522,3330300
65,845636,5609438,2338711
72,11288433,5161287,8809028
79,1732537,4582138,5779351
82,6629849,3326556,11650259
85,1676135,11683184,11133744
88,10912923,11741647,11708898
96,6353155,7708698,7788093
98,11502354,4352239,2228013
99,1888069,8638411,8735197
105,5919256,10733578,1675409
107,6483603,1253759,9333150
109,11379582,11399439,8702038
114,10417161,5217070,5115176
122,11371875,9468029,10744297
123,11125919,9507766,10880413
124,6130782,2069627,8454999
132,9147950,7749501,7547390
134,7760370,3733144,11424282
137,9278346,9016901,10068134
140,2162594,8867309,8297672
144,9225738,6311894,5532209
168,8893481,9814132,5191427
171,8161286,7554743,6735876
174,889431,5567688,6926950
181,2825302,10819612,11006437
190,6628922,8399255,4703114
205,9439223,4906140,8233166
208,8846030,10497387,10457875
211,7557491,10605335,9989918
217,7577438,10027815,11130679
221,5193995,60109,5582788
225,5524024,8790595,7944861
229,10172501,4055515,11385882
231,1117215,5270871,9697770
232,3061459,11033383,8701761
249,11305088,8693911,1139749
253,8393650,9729522,10063850
257,11082050,11061157,8238384
258,11224291,10775613,11327763
271,9686983,7665536,9725510
275,132310,10276270,11277598
276,5304618,9171909,6808365
281,7834165,9661345,11490103
288,7594750,8637164,8922846
291,977048,7300433,8191108
295,7140695,3756731,9896023
297,4007436,7791210,9987319
298,5065949,193053,6205074
302,8761937,8676082,9267534
303,11414918,8846696,8880004
304,8081084,8719976,8969107
307,9958605,11589506,10189770
309,10858857,7319503,11157064
327,9452173,7865590,8423243
334,3945841,8357687,11303143
335,8024889,10929628,11480279
344,8193917,7973253,9128689
351,4632491,10662170,8338426
362,7234115,11733889,11570559
363,11371396,11686259,6278122
388,11081009,9390146,10299092
394,8267090,8147383,11489552
396,9207326,9748107,4660205
398,7733556,11140218,7272568
402,2264906,11559512,11109380
404,7361437,11277598,9238977
406,5083462,3065598,10733119
407,8479880,2324166,7419409
415,1619927,9623386,8445884
417,11386250,9724091,5989
426,9491445,8282220,11403667
428,6503607,6653002,257144
433,8062448,10305472,2427270
434,5809005,9100685,8475664
436,7072168,10894776,11496538
442,314513,10292323,9817869
444,11193531,5008533,9203459
447,6041376,7229609,8307404
458,11452806,292338,7229449
461,4118118,8523478,5878718
462,9779875,2999106,7850402
468,2220653,7979986,10027832
472,10459769,9422031,143321
480,5124702,11505298,3271283
488,6410317,1922967,3001275
489,7508725,11256234,8460393
498,10872899,6015986,5533452
499,7272503,4336576,4146813
502,9775812,8821883,11282007
505,11728807,8923470,11613495
506,74740,9915263,11594178
535,6667199,6590058,6425547
536,3073136,6246692,1637147
540,760503,7384667,11089348
548,8784969,1117325,7041728
550,10917167,7133010,7259625
551,11055476,6255822,7825402
561,7774105,6999872,10845708
570,7233026,4786184,7593208
572,9259477,8705968,8672334
580,984742,3726543,8116516
583,6818282,5931732,8383888
584,8775759,11394683,7965513
585,9267861,11353775,11681973
592,3318119,9319374,5929174
597,4165239,3941214,7562584
599,5776148,6635378,10033314
616,4666261,10033314,6133201
618,7908933,7521623,3692182
627,7281598,10857972,7870645
633,1731583,8619181,10049475
634,6980744,11699901,3112083
636,9199091,8248097,1651901
645,3741984,9233803,1813653
647,8151199,7720041,4394210
650,7128063,8475746,10940321
656,10676309,9695351,4667884
662,5961298,10966536,6636022
667,150432,5965166,5955907
676,4878908,9310547,9430272
679,9217573,2662361,6746766
681,8069665,7630852,693523
683,8915821,9186574,2994010
685,3737882,8225803,11065903
689,11496677,2807058,3469763
691,4365834,11202607,840114
700,11585528,4816129,4934067
701,10702650,145919,3404606
707,9099777,9920406,8533860
708,8484572,10809220,8199278
711,1377679,5023360,9158371
715,10604995,1813575,3803429
718,5417009,7967419,10315394
723,9092975,9284172,3475492
740,8369298,11484273,11667742
742,9029420,6216477,3522023
744,10343995,7353261,10076501
751,8485591,11401052,9794642
752,11625886,6278136,11594924
755,8150244,7929824,6690383
768,10343978,11550886,10952847
771,4881709,4808661,5719486
773,8887316,10276270,9466144
775,8193733,2227928,6843341
779,3517641,5781976,10904862
780,7781886,7694356,9513970
785,5033534,6516696,5873601
795,6485981,2867989,11526808
801,8470200,10933414,3608400
803,9924651,131327,10431397
825,11286336,8661930,1217620
832,11531712,10806602,9152064
836,7477304,151782,7295611
839,6069225,8061510,4874532
842,3074134,6855971,7610644
850,11170923,7712264,8974979
851,8716704,8914209,5364739
857,8650673,7334055,244675
858,8402755,10525881,7519853
868,7457552,9088366,8520424
869,9510320,573267,5888023
870,4223698,11316896,4087154
878,6879074,8216405,3028293
879,394424,7773265,11230484
885,6046055,77086,7963134
891,1377490,10401020,6006177
894,5951477,3454063,11593773
906,6021411,11478610,7412850
916,9328112,3445596,9030513
918,9492060,7889903,7557508
921,11088699,1225334,11108582
946,4195446,6108311,4585295
950,2093594,9303813,1719909
952,9426783,5450063,5825942
954,9197868,10770579,6585175
956,3215122,6461905,11505685
962,8142493,3456851,10693853
964,10621544,7589196,405009
966,11462920,5228096,6325990
968,2435320,9024880,6367279
970,9914412,10732197,8323527
971,6208474,8076280,8898366
972,5610024,9222434,2981805
973,10806659,5770413,5763597
981,8202142,4529627,7323615
987,11325521,9018324,11600554
990,10357899,8154647,11071723
994,5449135,9839771,7652203
996,116629,8490745,11105641
1006,7816986,8170136,7412117
1011,8489713,3479519,8948006
1016,7906957,10810805,5976551
1017,7325052,11377020,8169136
1022,6179142,8026309,11430267
1023,7968811,10718072,11405916
1026,11356646,4260175,9722700
1028,8102994,3582574,6474318
1032,7722543,302432,10304111
1034,1737529,9910636,7582167
1041,730986,11596381,6764404
1046,9042998,665003,10967415
1066,1801844,5738367,11253401
1081,10078151,7074045,6305306
1084,6666089,8006593,5160112
1085,7472205,10999184,10772608
1089,4332900,1253759,5020642
1093,367607,11481358,8738946
1095,9028384,4448623,9472237
1096,8747272,10169579,10885277
1097,10368377,9555710,5375170
1100,11110956,6826187,9381782
1104,5416404,10797651,6545562
1107,8447591,8624897,1479146
1109,10144695,11431185,10266219
1111,11553596,4117659,6642320
1116,10370384,10065535,7135313
1121,2946659,5101805,3714880
1124,11367637,10924559,2433389
1145,9024714,2306746,10057503
1150,7429093,6326502,9317239
1154,1009525,8327141,6481882
1156,1175126,10912043,11324517
1161,11313267,9151476,6172649
1167,9866980,10135134,1617596
1172,11748851,5313063,9141203
1178,4744524,8609562,5944593
1180,8695102,9139684,3442548
1181,3770558,10168354,4636406
1213,3209010,7635167,11612590
1219,11668843,7229735,7455779
1225,9314113,6610675,5609727
1242,11338725,187594,3468244
1244,8904839,10394825,841075
1245,2649059,322561,7195583
1247,10809702,3557398,11233482
1254,11642056,5294186,4577730
1255,600045,10986543,4858973
1263,4439802,8925921,8166136
1264,9661278,11683130,7549875
1272,5675531,8049223,6156848
1273,10091350,9508553,3706208
1274,1296099,9253632,4618380
1282,6808944,9160159,8682969
1283,2582653,7710109,5764659
1285,940405,9705194,5614139
1291,2912988,11175663,3320278
1301,308012,4626167,6799460
1302,7096659,3050141,8959931
1312,8120971,10434608,9434709
1313,9815304,8089582,777735
1315,9451160,4376185,8637404
1316,11540760,4374234,9968646
1317,1100924,10559396,8970842
1327,10344387,11638803,11371101
1329,8840223,8705055,103857
1330,7236118,11372619,11481494
1333,9801246,3630717,11496975
1334,2056879,7513340,10671851
1348,9622054,8267567,2627722
1353,5070853,4150285,10880418
1360,8324277,10718919,7900163
1364,8220225,8277355,5534683
