,0,1,2
2,2072,409,4632
3,7017,978,978
5,1674,2174,258
7,1947,2174,1674
8,6721,480,118
11,1634,978,1094
13,2082,2111,2224
15,588,2428,1324
17,2111,58,2430
19,2072,1626,1094
20,666,8551,2111
22,471,1502,443
24,978,5481,956
26,2104,1152,1107
28,5303,358,2163
30,2174,219,791
32,118,2142,443
33,1947,8010,2701
36,3139,443,8100
38,3488,978,1622
40,9035,2174,10109
42,1947,178,1632
43,1094,125,58
44,6430,2079,2170
46,1096,81,5727
49,495,445,258
52,7621,10333,430
54,1800,58,2174
56,978,3688,2820
58,7992,1096,6636
59,272,2430,2174
62,272,319,1391
63,258,1096,10257
66,81,3313,492
68,6427,258,1505
70,2069,1391,978
72,978,1627,8254
74,1245,2104,1094
76,363,1342,10007
78,2741,1947,1391
80,1094,2430,1095
82,118,1096,496
84,480,2659,258
87,3548,978,2948
89,10137,2174,1502
91,1096,72,7055
93,702,666,74
94,2170,1502,1096
96,1095,2139,478
97,978,2104,2948
100,978,74,1094
102,2111,1107,2174
105,1,2111,2163
108,1027,430,9943
110,1947,576,2111
112,1623,2111,1667
113,401,1096,480
115,2121,8829,1161
116,978,1800,5335
117,74,1944,77
119,8414,264,978
122,2430,2111,2111
123,1229,1634,2428
125,2067,978,404
130,8458,178,2121
132,1391,939,1094
133,7358,978,1094
134,5467,531,1094
136,1095,1674,2421
137,986,10369,8334
140,634,7441,2121
142,1688,258,1391
144,1094,2111,430
146,2858,2562,8399
148,2111,531,249
151,1632,1505,319
153,9700,536,445
155,180,258,29
157,791,1943,1094
160,2428,1391,2111
164,7875,2111,7539
166,2168,118,1391
168,1947,492,1095
169,10336,1096,978
171,582,831,6233
173,8406,2111,907
175,4674,1525,2174
177,72,1633,1765
179,1107,1667,9811
182,978,2049,1508
183,6523,791,2104
185,10167,10233,7670
187,1095,10194,8940
188,8096,1947,1525
189,3931,1228,479
191,7092,1095,480
194,2067,1947,338
197,2079,1096,2173
198,2533,81,5713
200,1094,219,272
202,8021,2430,2527
204,1245,1107,2104
206,10397,219,1765
208,1094,1633,452
210,118,5653,2111
212,8967,495,3085
214,72,2737,160
216,634,1095,1391
218,443,841,77
220,1245,2993,978
222,2174,2737,77
224,2079,2174,2111
227,58,2430,6712
229,531,1901,4273
231,1391,5657,531
233,1089,8179,443
235,264,2111,7165
237,1632,2015,1688
239,668,3999,1091
241,1180,1667,118
243,1622,2111,2168
245,1152,1107,1629
247,701,2111,47
248,1180,2168,1094
250,10229,2174,1947
252,978,2104,1089
254,2163,1624,2111
255,3608,4971,3823
257,2859,2111,895
259,10475,7690,1505
262,978,2111,4107
264,8592,8232,74
265,1632,2170,1245
267,258,2121,2069
269,978,1098,6784
271,1095,2072,8002
274,978,10112,1245
277,668,8254,2812
279,72,1054,2111
281,8254,8709,1622
283,6771,258,3095
284,477,1180,2111
289,1095,536,1228
292,1094,8876,2174
294,978,1627,8828
297,2111,249,912
298,1633,443,2174
299,1505,2111,2111
302,8920,956,978
303,118,1947,401
305,791,2111,483
308,1230,118,531
310,1030,978,982
327,978,2882,4351
330,791,7131,2049
332,978,2104,1667
334,5148,10397,1107
337,1273,2111,978
340,2072,2104,9924
341,495,791,10035
342,1180,978,922
344,1947,791,978
347,480,668,2428
350,272,2163,2467
351,978,8002,2111
353,668,2173,2111
355,2163,480,1245
358,6978,2782,1633
360,2430,978,2174
362,58,2111,2120
364,791,515,1502
366,8828,2111,1091
369,3667,1769,2048
371,430,249,1622
372,3215,58,72
374,791,5471,2174
376,3085,1097,4337
378,1633,450,2049
379,1667,3447,1095
382,1641,1286,1273
384,9811,668,531
386,8334,85,219
388,74,1765,4588
390,2173,3900,1096
392,2174,10003,1245
394,58,9862,2428
395,1944,5623,2104
396,2111,2174,1107
397,74,443,1391
401,1391,8825,1947
404,1245,8263,9214
406,1632,1800,7999
408,72,591,443
410,2174,1229,1094
412,1628,45,1674
414,1505,471,10040
416,2174,2163,666
418,1094,666,8979
420,1633,358,6350
422,2174,1947,3307
427,8334,1096,2849
428,1505,495,2069
430,1095,2428,7436
433,74,2072,377
434,978,2174,2072
436,423,2139,443
437,978,978,1505
440,4229,1245,5000
442,8096,2430,258
444,1107,2794,487
445,1094,2430,1090
447,514,1669,487
452,6771,3538,1502
454,2111,6637,1151
457,668,9861,939
458,72,2702,1632
462,2428,2592,978
463,510,401,1107
465,118,495,2111
467,1505,1769,10504
469,443,634,58
471,443,791,1765
473,9405,118,701
475,978,4373,1095
477,1245,1505,510
479,125,29,1947
481,978,1107,10521
483,2428,5907,938
485,9861,939,978
487,8008,2710,4403
489,1094,1633,125
491,1641,5417,6675
493,938,791,1947
494,1170,495,10073
497,2049,2111,1943
501,1629,1633,791
502,7008,2174,9980
505,2111,1094,9376
506,1632,1094,515
507,1273,1245,1800
509,2488,2174,1632
511,8229,8096,118
513,2142,8021,2111
515,9543,1674,8019
516,58,58,1505
518,1273,1502,1273
521,978,9412,3598
522,1417,597,1273
523,1674,2111,2072
526,10089,2430,1095
527,1107,1094,7884
529,74,1391,2174
531,7866,1667,5481
535,10397,10288,1502
537,9534,2821,89
539,8902,939,1765
541,2120,9302,1096
543,25,5346,1674
544,77,2174,1245
545,1646,791,477
547,1436,1508,1329
548,3488,791,7837
553,634,791,4574
555,7949,791,2111
557,7949,484,81
559,531,514,10003
561,1628,1505,666
563,72,2421,1641
565,4725,1624,2893
567,2174,2168,4735
569,2174,77,1394
571,2173,531,443
572,978,7033,7256
574,978,3825,536
576,1228,10010,2428
579,1152,1391,1094
583,939,2421,2430
584,978,1322,495
586,791,3759,9944
588,666,2433,1391
590,791,3917,1245
594,791,2174,1940
596,1669,1095,9037
598,1945,8006,2111
600,9553,2079,1391
602,3395,1505,3095
605,58,1090,1261
607,178,118,2174
609,3930,9035,1180
613,2163,978,938
614,9315,1669,2111
617,1245,2088,6105
619,8063,1765,7994
621,7021,2645,2111
622,1667,1765,2173
623,1505,2067,258
624,58,668,9534
628,1180,978,2111
629,978,1663,442
631,2430,2168,2111
634,10333,244,283
635,1669,1636,2168
637,2430,452,10092
638,1633,2428,10258
642,3999,1094,379
643,7750,2111,1087
645,2421,1095,27
646,4285,3900,8772
647,1151,7756,2173
650,2154,2174,1940
653,1095,3999,2111
655,492,978,1245
657,5107,2428,531
659,58,8924,452
661,1095,8306,249
663,6480,8493,1245
665,118,939,1473
667,1095,1508,2069
668,1245,495,8466
670,1096,2111,1087
672,1947,5799,7360
675,978,1633,580
677,1505,2111,2174
679,118,2430,430
680,2111,1317,1052
688,1502,978,978
695,2428,10181,8492
697,2174,7246,528
698,9401,77,338
700,7213,7015,8644
702,49,2170,978
704,443,1629,546
706,2174,515,584
707,6820,1090,2174
709,1663,2111,3613
711,791,401,2174
713,2121,2494,2636
715,4251,536,1094
717,2111,2174,7038
719,1623,118,978
721,2174,8010,1096
723,1505,2174,1633
725,1765,1624,7192
727,982,2174,1632
729,1947,2174,536
731,978,978,1765
736,1273,2163,1087
738,1667,1525,1245
741,77,5208,1732
742,6229,1107,3323
744,490,8023,1096
746,2170,85,1669
748,85,3453,1769
750,2174,8465,1667
752,1090,9944,5329
754,1800,1245,1273
757,1095,8979,1152
759,588,2141,667
761,74,791,7510
763,169,332,588
765,409,258,978
766,2111,2174,2174
768,85,831,978
770,978,877,2174
772,978,2421,1400
774,58,791,939
775,2174,8688,3151
779,4353,1940,978
781,2069,1505,443
783,1096,264,9459
785,486,2142,85
788,81,978,5897
790,7977,2430,7526
792,2069,978,2836
793,3563,3307,1636
794,2174,287,2857
795,8764,36,2174
800,8888,8013,5482
801,443,978,1674
803,7506,1508,10580
804,77,2104,1152
806,1400,1094,2182
807,2174,5597,77
809,1947,1095,1765
811,1151,2170,978
813,4623,2111,2589
819,2798,2174,1094
821,1094,2111,791
822,1633,2685,8994
823,2174,536,1633
824,10031,510,1513
828,841,350,180
830,7892,2069,1947
832,1391,1094,9768
834,1947,8254,1667
836,5803,1674,588
837,1088,251,3354
839,8369,2104,3562
842,1229,1633,514
845,1095,978,1669
849,2111,1765,1094
850,118,6803,9969
852,667,1054,528
853,2111,2104,319
854,1947,956,1765
856,495,3209,1674
858,1769,332,1549
860,1107,8406,2111
862,358,495,7296
865,978,1391,6559
866,2111,1107,5467
869,6654,9094,2067
871,9920,3374,831
873,2079,2168,1094
878,319,492,9249
880,2111,2079,978
882,479,7940,1947
883,2174,668,6986
885,1765,452,2168
888,1151,480,2174
889,3365,3395,1669
892,978,1765,2111
894,2111,10285,258
896,7579,1473,8067
897,495,2174,10443
899,2111,978,77
902,2421,445,9287
905,8906,978,10201
909,8774,3607,264
910,978,118,2088
912,3447,1094,8792
914,1508,258,1947
915,1565,2174,1505
922,6499,10494,978
924,74,2174,791
926,978,1669,2111
928,2174,8592,2067
930,2174,8258,1245
932,2771,2906,1107
