,0,1,2
2,1820,66,1616
6,1845,593,370
9,1216,458,1628
11,143,148,1616
13,1544,174,522
16,143,1085,830
17,781,1166,829
19,411,370,781
21,1798,811,725
22,1679,174,593
24,1121,66,811
25,174,780,1743
27,512,370,1820
28,1508,1842,1632
30,1619,758,1820
33,1548,1845,1048
36,805,246,593
38,1556,1679,1097
40,1795,1745,994
43,1240,1544,1842
46,657,657,811
48,458,1548,143
50,1548,1121,66
52,1544,1089,1820
53,370,995,1652
55,1675,1544,303
56,1544,447,805
58,1556,578,66
61,1749,1749,781
64,593,1114,370
65,1544,1548,1734
67,1795,1749,985
69,246,1,1820
71,1548,1544,1810
73,370,1812,1741
76,1767,336,1548
78,1548,1033,273
80,143,1243,1548
81,780,1679,1558
82,385,458,1698
85,1554,953,1544
86,1795,1770,1719
88,1797,1767,1677
91,657,1102,1498
92,844,995,512
94,1764,829,1839
97,1402,830,303
98,805,788,646
100,1597,810,1738
102,1128,1652,540
104,1679,1795,1191
106,66,411,1679
108,994,207,496
110,143,81,953
112,1677,458,963
114,1664,246,1548
117,273,151,1554
119,174,458,411
121,1820,1101,66
123,1244,1652,1040
125,29,1102,66
127,593,1548,1741
129,1787,1741,143
131,1749,811,811
133,1749,1086,1741
135,1548,1652,1648
137,1749,1620,1820
139,1548,1741,1627
141,339,174,411
143,336,411,246
145,1788,1664,780
147,1121,830,1741
149,1,1839,571
151,1048,1544,1013
153,1770,512,1749
155,593,1619,994
159,1114,1652,1795
160,805,1820,458
167,66,143,830
171,1834,1264,1548
172,1121,576,1626
177,1750,512,273
179,470,593,370
182,995,305,1679
184,1652,1618,1689
186,985,608,1544
188,830,995,805
190,1652,66,1548
192,411,781,1521
194,421,646,1845
196,1806,174,458
197,1620,1750,66
200,805,1678,143
201,1544,1068,562
204,1548,1770,1
205,246,466,512
209,1679,810,143
211,246,1148,1637
215,174,174,1842
217,985,6,781
219,370,811,608
221,1664,1795,646
223,1448,1679,985
225,781,1745,1787
227,1243,985,1741
229,143,1741,174
231,1839,336,1770
233,1795,781,1770
235,646,1140,1031
237,1328,1770,1166
239,811,1797,1474
241,1745,133,1617
243,411,1677,143
245,1716,411,1548
247,1554,1121,1166
249,1820,1166,593
251,217,143,1514
253,174,1679,1749
255,781,1741,1610
257,143,830,1679
259,246,408,1652
263,1767,1741,1548
265,1677,1745,1795
266,1842,1548,464
268,1544,1618,953
271,458,273,1131
272,246,573,1617
273,1820,273,593
276,1741,1141,810
278,151,143,575
280,139,385,1842
282,1795,593,1745
284,174,1685,780
286,832,415,1114
288,1750,143,27
289,139,646,1617
290,157,985,1750
295,136,458,1677
297,1679,517,1805
299,1741,336,805
301,1845,1169,805
302,1032,1741,1617
308,646,1839,1618
310,1121,1795,1799
312,657,646,618
314,811,1770,1741
316,336,1741,584
318,1839,512,621
323,1679,985,830
325,1806,174,411
326,657,1749,164
327,1550,1677,1371
328,811,1839,1121
331,1679,458,1233
339,1679,1648,370
341,1820,1652,805
343,1749,883,781
345,458,1078,593
346,370,117,458
348,1802,1166,805
350,447,1,1795
352,646,458,143
354,174,1548,1554
356,1639,1839,1620
358,273,1745,1544
360,646,830,336
362,584,174,646
364,1140,370,657
368,385,1842,1648
370,1820,458,780
372,798,411,985
374,1620,1,1795
376,143,207,830
378,1767,1548,1677
380,174,1652,811
382,657,458,830
384,143,780,415
386,1,780,593
388,725,1640,1664
390,385,458,1544
392,646,1229,1548
394,995,1749,1601
396,458,1618,273
398,143,805,157
401,512,1188,1795
402,646,1213,562
403,1095,805,1556
404,621,143,1548
406,1338,1456,485
408,758,1820,1795
412,458,1548,143
414,1837,458,1031
415,1383,57,1678
418,1140,1512,1842
421,1820,458,593
423,1767,994,458
426,458,593,143
431,994,1140,1750
433,1677,1745,420
437,1741,1202,1749
439,1750,385,1326
441,1577,1842,174
443,1707,1839,1781
445,258,239,1207
447,593,1820,411
450,1741,1271,1242
454,1554,1679,1201
456,447,646,1807
458,1121,805,1741
459,781,646,143
461,1556,593,1820
463,798,1820,1114
465,1749,1750,385
467,985,370,1008
469,143,421,1839
