,0,1,2
0,905,1613,219
1,1645,1311,1355
3,1159,1180,1355
5,1375,905,1355
8,2386,1183,179
10,1311,1861,2458
13,498,138,138
15,1158,1166,1315
18,1355,1415,1315
20,1355,1223,1981
21,1183,1157,1099
23,1159,798,1315
25,1613,391,535
27,1847,204,1183
29,974,905,173
31,1311,94,1311
33,1497,223,1313
35,1100,1028,1597
37,1183,1620,509
40,1162,1183,1612
42,1028,374,514
45,2336,749,1361
46,1981,1311,1360
49,1976,1315,2176
51,324,1377,1376
53,1028,1097,1377
54,137,1609,1313
57,1488,1861,1315
59,1376,1099,1614
61,1055,1376,905
63,2335,673,1183
64,591,1613,1315
66,1369,2017,790
68,5,1730,179
70,1377,291,1156
71,160,1183,374
73,762,1355,1154
75,2345,486,1183
77,1376,799,785
80,1311,2275,1376
81,1097,1057,892
82,1609,1355,1377
85,10,1360,2510
87,1861,2028,1157
90,5,1355,1453
92,328,1861,954
94,1376,1377,1377
95,1355,2028,374
97,2017,785,123
98,1808,2563,2074
102,1308,2496,1825
104,94,2020,2559
106,1981,196,1155
108,1375,1583,1612
110,1315,1516,1311
112,1824,2524,1372
114,2630,1028,1355
115,1794,785,140
117,1315,2438,736
119,351,2455,1315
122,1377,374,5
123,1376,2216,1313
127,1703,2080,1376
129,2399,1355,1313
131,1183,584,219
133,1360,1355,1375
135,905,1861,1377
137,165,1355,1993
139,1063,328,905
141,2136,1609,2578
143,1100,2028,1315
145,1154,2197,1981
147,1424,1311,1355
149,1355,2438,1315
151,2517,637,584
153,876,1355,374
155,2590,1055,5
157,2437,1670,1315
160,374,1158,2074
161,1028,2152,1377
163,1613,647,2074
166,320,1183,1885
168,2029,1418,1847
170,1183,1355,828
171,1376,1612,2216
173,1099,1315,1898
175,1609,917,749
177,1315,1129,643
179,1355,1315,1313
181,1613,1374,338
183,784,1967,1159
185,2020,1100,1315
187,1183,2183,324
190,633,1612,1377
191,1861,1157,310
194,1376,1311,1158
196,1590,1028,535
198,1100,1613,787
199,1349,1414,1612
201,1376,1355,219
203,710,5,1359
205,1377,2220,2074
208,799,1412,1469
210,1315,1861,351
211,631,1644,1183
213,2593,1315,1376
215,1377,1315,1355
218,351,1491,1355
220,560,2237,94
222,1612,374,1612
224,1311,1478,633
226,1100,1861,2437
228,1592,1613,1355
230,1355,43,777
232,351,535,1180
234,2590,94,223
236,2064,1793,2000
238,1027,2020,2321
240,244,2584,1027
241,828,328,596
244,2041,1355,1376
245,1585,1613,1377
247,340,179,2581
249,1613,1091,2593
251,1183,1992,905
255,584,1981,1028
258,888,351,2222
259,1861,1180,1027
261,2221,1355,1100
262,1091,261,1504
263,1495,328,1861
265,727,1885,1355
267,2287,1315,338
270,351,2524,1355
272,2397,736,1315
273,328,1183,1885
275,1158,5,374
278,2289,1198,2357
280,796,905,1609
282,1376,1355,1313
284,1488,772,775
286,1834,2607,2216
287,1612,2512,1612
289,1908,155,1609
291,5,1097,1655
293,1315,787,179
295,1183,1868,1274
298,1180,2313,1613
300,1315,2294,1596
302,2029,1612,2134
304,2511,1612,787
307,1315,1351,336
309,351,1190,1313
311,464,895,2216
313,1377,2366,1976
315,1349,1432,445
316,2333,1882,1063
318,1355,1861,2082
321,1158,1183,1363
322,876,1588,351
325,1027,1613,1315
327,1415,1183,556
328,2322,2029,1155
330,374,262,1582
332,72,1633,2251
334,2437,1376,1726
336,1355,344,623
338,1796,1027,504
340,2250,1998,1813
342,1313,1355,1597
344,2216,69,2074
346,1861,2598,391
348,2112,1157,736
349,1894,49,951
351,828,513,351
354,2559,113,2166
356,2517,1311,1596
358,1107,1376,1129
359,94,1613,1609
361,94,1488,374
363,2584,1315,1377
365,1180,1311,1155
367,1612,1311,1058
369,67,1430,2557
370,1355,1070,584
372,1582,2559,1861
374,1315,94,1882
376,1183,1377,1596
378,1377,1099,2369
380,1313,1180,1377
382,1377,1981,1377
384,1589,351,94
386,324,2565,1609
388,736,1028,1469
391,1815,449,200
393,905,1315,29
395,2027,1100,1183
397,1596,1370,1445
399,1800,1592,1315
401,1376,374,639
403,1721,749,1315
404,1612,328,1315
406,1027,1183,2583
408,2272,2134,1355
410,1585,179,94
412,2028,219,1569
414,1966,1315,1355
416,854,2607,906
418,1315,2438,5
420,923,1183,1355
422,1612,1376,1596
424,2005,1028,336
426,1613,374,2498
428,1613,2517,714
430,2216,2220,2363
432,1155,2400,1315
434,374,796,1183
436,1374,94,854
437,1586,2281,1861
