,0,1,2
1,ca9dbb1fb97a726e3961973f8941144461749293,fc9fffcf2039c95db47f509aa82cb6b377da9151,3857644b4c459cbe42b78ca8a13bd55ef704fd30
2,c3936fd3820fe4fb6cdd1cba7944f016dc0d5e13,e83eb94b0ea67b5123559b94df118f39ac44d68e,25bd3678ae738f8f8b6c7b1f17d8a822ccd96b50
3,99a61cfcd1eac31a56d1c3539078467bb949ab92,abe53a537b4d19a878e8de3735393e0c4e85aa7e,4de4251310cfcef12178713d6d6e93b0882a4f4d
6,a39ca45cb146f3d4cf681f36f789538fa6995bad,a84db25cbce00f1d8d099e62fa7ecea1fdaa3f2a,976625b9bf81dd9158e2921c1cf0f09f0f6b2e4f
7,f8b7208a267a2e8b2ef06de28062c78b0ef06c96,424c65b5689c5e952477960cdac5428c6b691a7d,0639a7426558cf298288e05c193eea438c2f07e5
8,f7e49c03197598a849cfa60dc089011059846b09,87086119df865477146c8b282024dc6fa5bb864a,856cf35adf1e2ee5e03022b6e0347d0c6a5fd766
9,fc7db34c11272bceda6fee8a28607d31ee1f0782,318e723e38124e8e72904ebf966fbf8aad6605dd,5da3fd1da735f32b138a850d990a6f51190cef5f
11,22aec774e65a6d14de4acec3a0ceb1fbc49bbaca,18b024aecc1110e1b57ea90ae75d674ed8bf7307,fcf837b5afd77861e4df028ccb7a138721ae5a33
12,82f8ace417a3a7d78d0c84becca1cb32fb8db34f,a60a283a7816fb9bb2ba18a732c4a2aa461ddcb5,f36eeb6736e71009d3d3e57f000c1d135bdc7119
15,e3fe16402e3182868db82b771ac7f9611f10d5b5,709b167eba079c70cba2e535f18a2492122ec4ad,4512209ee3806d3f56ee08828df49f0ecb22ec77
16,0ed77801abe79178c8c05aadfdfcc9d36313b43e,054295a7de9af8b0b0f24f212a93c7bd2f27eae6,51e2c390fb363640c3ef1ec3fe97af0e850d9c91
20,1d6a2590f850248d20065e2b3a58ed8bc86b9e95,0c2f30f9f2df7e70c7847ca47d6931dc41a18fa5,4c246d1c5582396debfad2a3687a243303e9a0e5
24,2a6c6409a919c1091ef3af778cc9738c57d67575,b56119114cb989c44917dd7fc6d1d8da3b852632,dbefe9830b26d05f9ce53503565a069bcc63d7c1
32,c6080ea55539d83c5d95b26ac19d0b3823631cb3,c458c57da3f97fe193082fdc1578055be119921b,85b3f4faa4d712a4dec471b91dd2e349d5228bde
40,35032b8b4e08e8873ac02d96cb2a63f5b19daae3,59e49f78a311eadf6b3fbe7d30df20bd2f7e204c,e90daafda8e2fa847689aff35cc9ecf4e09e1a62
41,3c2abfe35601a1c28f325c666bf7d339341de182,502a2ed2594d8c8af25f3adc5e6f554b067ebe5d,64bd4ec96198de24587b0809d1d7eb6e11573c41
43,80542718645d96cf23865428a166fe6aa3594a61,96c021c8dd79ed968db51140dfe7f8a129ae2016,2613ba3927380d93293ed3ddeddf44cc690a049d
44,142bd428b44019a5199bec82de5d3d017a5489e7,a1beacad42df682214489dac16e7095ad931f254,9d5eb33d375bdb2a4d13e9294d956a336335689a
51,0d252ede64f04135fb952155a5c51de5eebae47f,240166f000f4a508681da3142e903e84cb242181,d802c2d172f56018b456d7077d702f2839971b52
53,f3512bd08b32eee3ca068b89ff243535caffba7a,7cb76bd9799947a100e7f38f502c587b539cf188,18b024aecc1110e1b57ea90ae75d674ed8bf7307
54,5cb6abaf9331d737fa8274c7ee0a6288b1b7ec15,5494fef451d5f0895cdf9b387958c693daa66e91,b943acfc64147d49bbb97b4c1903dd4707a96774
58,5f093ca7b3f7d749a7ff84ccb948e55269c4fe81,7c3e793643529b56b1471d0da76a11d45d54bb79,cff462f8277464a2de9479adec5f8f0617bdc7cc
61,8566cad923d302611832cc5746e00d1075103993,0ada0cb8bd89217d4c995b566627df47db8b1486,d38100300ab4370db9b1b6040d75b157deeba138
64,ab09b0c6b3fc76f414dcaa464a2dbb58f52e0875,7d37451be5f1c8d4ef734bfb6cc2cfbd413097f6,c246b98766227d0b4492a4846f45cdb775019d41
