,0,1,2
4,242,111,251
11,124,404,554
15,547,780,893
22,569,117,308
32,462,758,525
34,263,164,117
42,921,218,736
43,78,725,535
46,462,531,794
50,920,170,425
52,163,871,200
53,355,439,253
57,878,234,221
64,631,539,932
68,276,848,26
74,298,699,894
77,355,714,772
87,915,566,3
92,655,145,895
94,541,418,292
95,744,697,165
96,137,652,160
98,782,787,739
99,699,447,600
106,707,280,420
107,257,951,75
110,277,556,780
115,173,680,671
116,251,176,300
125,344,122,179
128,680,363,551
130,363,880,120
132,442,668,583
135,418,295,702
141,764,2,760
143,163,38,729
158,895,487,784
159,179,153,780
172,473,102,708
181,222,253,398
188,208,784,169
189,183,583,540
194,354,880,62
196,303,362,350
202,827,398,201
204,241,708,475
206,635,76,184
210,410,219,699
211,163,111,874
215,693,48,183
220,311,162,793
223,810,657,729
237,934,117,334
248,759,709,494
249,361,559,704
250,911,600,553
255,14,715,354
260,287,217,674
268,605,463,628
269,571,603,286
272,356,445,219
282,171,466,882
288,352,121,892
289,67,276,785
296,683,352,758
299,407,698,741
306,117,699,388
309,762,17,252
320,347,586,429
323,649,26,243
325,232,721,445
328,304,639,556
330,882,701,388
346,263,462,450
360,148,749,827
364,779,387,507
371,772,693,45
376,507,764,90
381,668,183,468
399,917,817,252
403,485,26,251
412,886,238,642
413,166,302,732
415,911,266,642
416,651,559,361
421,119,900,603
426,145,354,576
427,127,304,60
433,744,0,66
437,601,445,157
438,793,148,547
441,808,152,780
454,304,474,745
461,695,451,732
472,473,551,839
477,700,732,490
478,238,370,725
479,232,48,742
480,279,410,887
481,780,228,752
491,494,603,636
495,354,203,559
514,636,758,462
517,603,725,670
526,880,592,907
533,428,655,532
537,197,483,138
542,728,831,447
544,45,780,572
549,897,31,679
557,722,379,794
558,657,17,473
561,2,235,518
562,285,235,892
563,949,713,259
575,265,830,257
581,157,102,284
588,678,388,620
590,344,119,616
598,736,637,347
599,490,344,851
604,882,579,394
607,425,247,262
609,6,569,304
613,244,605,594
614,566,700,888
621,744,176,293
622,252,334,688
625,653,88,333
629,697,671,893
632,589,140,75
645,387,317,734
647,332,451,553
663,468,66,353
667,471,565,603
669,146,257,351
677,714,20,486
684,586,1,404
686,531,224,801
689,705,606,728
690,80,788,539
703,39,395,723
710,266,766,675
711,253,785,446
720,608,871,58
726,758,531,226
733,852,44,111
737,266,699,90
738,229,84,238
747,198,889,435
748,124,928,606
750,916,484,262
751,295,38,788
755,595,555,616
757,370,600,821
761,31,333,497
771,640,892,123
773,20,111,637
774,424,352,620
775,452,465,464
786,241,160,263
791,331,145,390
792,414,84,406
796,83,930,283
797,80,685,801
806,397,187,14
807,404,634,474
814,258,91,700
819,387,352,67
835,473,60,680
836,816,357,29
837,31,541,465
849,408,82,287
856,33,396,813
859,238,898,729
860,668,301,484
875,91,388,455
891,593,13,776
896,148,682,355
899,90,522,766
906,284,304,615
912,605,291,137
925,283,756,54
927,274,190,714
933,666,1,487
935,547,646,395
939,948,921,564
944,336,519,708
945,897,389,129
946,117,780,436
950,779,447,337
955,321,618,279
