,0,1,2
0,631050931,423291,460396163
10,259457,552056351,288321383
16,260177,660236919,574547217
22,348381,356422289,32876
24,374159697,157636,169349
28,784621053,374559,513466778
37,567413656,245953,783777499
50,245953,779549626,551839851
54,386622387,755289574,191235
62,216133,626575842,784621053
68,216133,397649,374155138
74,598823908,513930709,156500
89,179802,548361279,3915
91,562312443,584772305,616246953
94,505193,401186508,585381474
100,315791378,272471109,548462695
103,365262394,470556345,584901186
105,631057380,548287121,571852302
109,524573808,513930709,331355
110,240255,160227,402754614
114,783777499,804838780,386803866
116,401526,650294204,619631237
121,417056940,457962127,660236919
130,461716277,378635638,513930709
131,524576472,554519700,735767301
137,173288,413698,483870981
138,259489,428192109,716063997
144,643663090,17452,479249
149,378635638,660236919,460767290
151,471359970,267111,532051271
152,518803934,792220411,716063997
157,584966494,298019161,461725515
164,584901186,442080707,416813739
169,34281,294078,8921
179,457962127,442069883,179802
181,416813739,3915,470495052
202,267111,156564,703089759
204,660447254,398224013,513970
208,389954289,641251682,631231404
212,374157587,202446,524573808
215,269136,17452,567447099
229,231058,166933212,243940292
238,348381,728919254,60899671
245,544730684,441838381,378635638
247,199600,16029,395749371
251,294078,472505912,502885319
255,349339,524570762,801529596
273,554333376,245953,792220411
276,660447254,471323370,461716277
278,518766163,483869049,439952944
283,160153930,776146107,331355
287,34281,709528311,745390
304,428192109,509329187,574206
306,272599215,533953,660236919
317,202446,631027900,518766163
318,477136,600613713,513930709
322,562312443,413698,414489
323,535910186,490047426,423291
333,224975840,562312443,596148253
334,392184648,413538,751273086
341,245922,380821365,524577890
347,397649,466584253,210463
349,718241850,157636,240572
350,323091842,470556735,417057188
357,16029,177642,784964380
358,428587115,12431,567217278
359,409405998,401526,779549626
368,585408569,384153347,631031794
369,631231404,571852302,160186970
375,720062867,15858,17452
386,397649,804838780,392184648
387,133676255,567431081,223039
402,379213168,518135153,631035738
403,428587115,650291490,177720
405,413698,413650,548462695
408,776104527,380814894,337316
409,245916,386622387,384153347
412,365262394,631048209,631231404
416,596160522,479249,240572
423,243940292,386769747,502885319
424,294078,102,315791378
427,567509702,191275,650294204
429,298019161,374157587,470502
446,660447254,243940292,87383
448,558797851,8921,298019161
454,157636,529573316,200015
455,574547217,374157587,584966494
457,622234473,631043516,46430
473,223039,240572,322844427
475,574547217,518766163,574547217
477,230472,347267,513970
485,650291490,272424908,703127645
489,460767290,500969741,548536501
493,240572,460767290,567453598
518,483869570,554589930,243940292
519,46430,483869049,653762791
526,728919254,784964380,783777499
529,231058,501429582,513970
532,199976,562312443,299087682
542,413698,396349954,166937573
557,477136,386769747,294078
558,728294594,541388527,461716277
562,631046549,500270587,272599215
566,414489,305468,805103797
567,554519700,165261,513970
568,372400893,397649,590551
569,541413577,631031794,776146107
571,322606129,600487688,166933212
572,283024,653762791,535897521
574,524576620,501429582,378635638
577,600613713,631050931,173259
578,414000,619631237,558880329
584,423291,460396163,720062867
588,776197063,531864482,46430
591,11609,409419413,461725515
594,191275,173259,600512665
599,373829460,784964380,655447642
603,547350906,548334237,315791378
605,805097729,548440394,413778
607,289688,428200304,428587115
621,224975840,322844427,374155138
622,413650,413538,398224013
631,784964380,655451369,535897521
635,470556735,541413577,600512665
638,460767290,783777499,485117414
639,102,567217278,631054804
646,46430,348381,708
651,413778,108364985,784621053
653,702295386,600439129,360226663
661,661510731,378511,600613713
665,532776533,108364985,655447642
668,716057171,660258018,191235
671,349692,417830616,531864482
674,317171,179802,428186863
680,368789,173259,234251144
681,723257917,702310271,805103797
682,216133,596154823,34281
686,8921,567447254,395749371
689,348381,416816092,728786004
695,191241,632421578,717293362
712,401184534,500270587,348381
713,302350219,378635638,513970
718,441838381,584806667,409405998
719,395749371,199600,395625797
743,723257917,655451369,703089759
749,805103797,240255,659320113
755,574547217,562312443,470505601
762,702295386,703089759,8921
782,331355,784610329,315791378
784,792220411,548361279,397649
797,179802,417056940,631034842
804,245953,413698,216133
806,7240,15858,460767290
810,567433703,518766163,584901186
814,567479681,397649,417381205
825,834740790,702941715,619246053
840,567402448,317171,8921
843,598380620,413698,400133
845,202446,259457,359646248
846,735767301,423291,598380620
851,631053015,505193,272505864
852,596148253,401186508,271213
854,296791437,801529596,723257917
858,524576472,703181973,173259
859,485117414,717293362,108364985
864,776197063,156564,567433703
868,805097729,234089,755289574
873,362923057,183472,809571317
877,505099,1616,379657
885,567461845,513970,322606129
908,513930709,442072356,524576048
922,548258153,372383292,379657
926,565350275,15118,417450440
927,216133,470502,703266718
928,74088452,398224013,718240989
933,331355,548258153,600512665
938,513930709,548462695,292839
939,490048787,776197063,383594627
941,778675119,179802,717293362
951,483870981,776104527,592993388
956,822085425,541413577,600512665
959,470556735,524576472,653762791
963,460767290,585381474,292549
965,359264188,294078,631057060
969,180837,567472234,32876
972,384153347,547520973,347267
975,805103797,102,598375439
977,379657,470495052,359264188
987,380814894,177720,784573533
991,516156769,331355,776197063
1007,470556735,524578948,4015
