,0,1,2
1,3026,2940,4843
4,821,4731,3413
13,1962,3603,2192
14,5150,1762,1895
20,3826,1570,5365
21,222,3501,1701
27,1816,4618,4781
32,3755,6180,1043
34,4690,6326,3310
35,2986,3411,1677
40,2940,174,3955
47,2384,4781,6105
52,238,1674,1253
58,6109,6063,5219
62,3819,394,2855
64,374,4936,4824
71,6104,5945,4097
80,6188,4285,5670
85,4262,4819,992
87,3990,195,6204
91,738,5044,4791
95,1018,140,5327
98,4791,4042,1751
99,2077,815,4761
105,4877,4438,1679
106,6178,3538,3712
121,4884,1079,2032
128,5061,4824,3006
130,1044,3055,682
134,3885,3484,816
138,2878,66,5235
156,4078,770,3008
159,3477,5305,4779
161,5160,219,4852
162,1037,1170,6051
164,2012,5076,5911
165,4884,1526,3187
166,5917,5451,4878
168,1062,6107,863
171,6178,2321,48
173,3655,107,290
183,6253,3030,5780
184,5032,3775,5383
186,4739,4262,4796
192,4078,3323,4592
197,3850,4255,986
198,3721,6167,4957
214,4073,5545,3477
225,2363,6212,4128
233,187,5879,5120
236,1928,769,1639
244,3688,2853,837
248,1751,1475,9
253,4860,6080,5385
267,4807,5196,3283
272,6305,790,585
274,5488,1696,3748
276,1112,2608,4813
279,6245,5064,2701
282,3148,6169,2472
286,1865,676,3344
287,986,2029,2393
289,3891,2389,4819
294,6262,4736,690
300,6262,2755,368
302,4412,4276,5494
304,833,4304,2326
337,2065,3456,4517
344,2319,6027,1803
347,2922,1179,2536
349,3242,2876,5231
352,4188,4819,5955
355,1483,3306,519
357,2411,238,815
358,2209,5466,5341
365,4757,5489,3979
367,323,5224,6160
371,472,1889,6265
376,5222,4007,1684
381,6122,5001,143
382,6323,6015,200
387,1867,2984,2869
398,484,4729,2360
408,2743,2234,1852
417,4804,4982,154
422,5307,5526,6090
424,6001,4494,6123
431,1114,2384,5490
451,4827,1147,4104
456,4883,1796,1537
457,3469,2588,720
459,2224,3433,2133
464,2186,2818,5565
471,6160,5064,4872
473,5075,4807,4803
475,3093,1034,3616
479,5240,5740,1856
488,5000,3786,3559
490,2211,5377,2384
507,4859,4878,5140
516,5218,6127,5463
539,905,3950,5936
543,2013,18,3071
550,4991,39,4941
553,947,5392,2727
558,4774,6179,4091
560,2642,3635,2389
568,5172,2669,4982
571,5621,802,4799
577,6274,3476,4820
589,5164,5081,821
593,5342,0,6361
596,4482,5980,6234
611,6326,4885,5035
619,2364,4965,1642
629,2053,3466,4177
634,2572,5826,1816
638,907,784,1575
643,3026,3628,2913
645,3410,770,3427
646,5908,1676,5275
647,2914,3932,3472
661,5567,4148,6212
663,6370,4194,1082
669,3809,4922,2175
673,1407,2213,3242
674,1894,3359,5992
675,3492,1958,2477
679,5740,1206,3265
681,6278,5832,3680
687,6228,3276,585
692,897,3311,4058
694,5551,2701,3597
695,37,2777,3504
696,5619,521,6319
697,617,4850,3337
702,3371,5425,3755
709,1807,1401,5207
712,1880,3029,2893
734,2111,1105,5782
735,1763,5446,3724
740,4807,2559,5500
744,6185,5801,1455
749,12,4224,3677
753,2636,68,2400
768,5520,1559,6267
780,3298,258,4047
783,3581,4635,4430
785,2710,1948,5664
794,1274,5896,631
797,4596,3036,4872
798,5416,4131,4285
800,2600,6211,3371
801,169,2434,6204
807,2093,3247,5297
808,1002,5817,4822
814,4920,5601,5930
817,5085,5720,5771
823,616,2113,3203
831,4813,2318,5090
838,1242,3974,5350
845,172,4353,3170
846,682,4822,5756
847,93,4883,4942
849,3685,2075,1268
856,6329,4894,5744
859,3912,4321,3570
864,1254,55,2257
866,3863,2146,4741
870,77,351,3250
871,2956,2499,5560
872,6108,1281,4549
874,5696,4200,3714
880,5621,5199,2740
889,2089,4609,3587
892,2576,0,4254
894,114,5388,2906
899,1714,4966,1999
910,297,2648,2125
912,1970,3576,2902
913,2379,2412,4895
917,6132,1588,722
919,5548,527,498
920,1504,2258,3191
921,4739,6169,4781
924,6321,4496,334
926,1827,1946,828
929,6188,6275,5036
930,2679,6245,96
931,6296,3248,5304
937,4778,433,4493
940,2556,5114,4882
941,1052,6180,3305
945,3130,2666,4772
946,887,3241,5748
952,3265,257,1575
954,2926,1175,5425
963,2994,2352,2987
965,6293,455,3754
967,2655,2719,590
969,5362,3428,6073
970,911,4616,4261
971,2873,6308,569
974,7,3896,1268
975,4910,194,3587
977,2987,5304,6266
979,5939,1116,1888
982,837,5624,5693
987,4448,5327,837
991,5686,2074,2176
993,658,6167,5493
999,5503,3136,258
1009,4791,421,5174
1020,4780,5778,5978
1021,66,1816,3802
1033,3684,884,3118
1039,218,5400,5514
1042,3466,5075,2444
1055,5852,5947,4778
1056,6075,5579,5296
1059,1908,2220,3431
1065,1034,4742,31
1067,3545,4067,1038
1071,5250,2259,6204
1085,2159,4859,5358
1086,2336,6203,4861
1088,1820,1852,1164
1090,3399,5180,956
1096,6190,1757,2447
1099,1798,1717,2060
1115,1077,1159,4893
1117,3819,4827,614
1122,2789,4701,4827
1123,177,5531,1860
1125,3801,5457,61
1127,4564,5377,4800
1129,3450,4872,6277
1134,2528,5127,4799
1142,559,3380,5805
1153,5529,5924,4353
1155,3125,4339,5416
1156,4125,3014,3713
1161,781,2708,3865
1162,2198,1407,5945
1181,5807,4804,4304
1184,4772,6169,3008
1188,3767,1364,5254
1189,5504,3399,2429
1208,5232,790,1977
1210,3288,1092,3732
1228,1612,76,5282
1232,5227,5734,4609
1239,4567,3185,2722
1241,4778,3426,4607
1244,1814,5444,2121
1245,2000,444,4772
1247,2153,4129,6017
1249,6180,3298,5499
1252,5860,1696,3615
1259,4733,3260,1418
1269,3278,1539,3235
1273,2288,4872,2340
1275,4796,1536,5856
1277,833,5375,3818
1286,9,229,4256
1289,5878,2984,1950
1290,4758,3638,2373
1293,2291,4979,2107
1298,1555,5316,4502
1305,5370,56,4841
1307,2068,3048,2993
1311,6089,3212,3026
1312,3008,5923,2673
1314,5043,626,3236
1317,1218,3295,4792
1322,103,4982,4255
1339,3747,2994,562
1340,5744,5554,4824
1341,2952,1047,6228
1343,3244,1615,4907
1354,5418,297,1674
1358,4413,4781,1040
1361,3830,2542,460
1365,4860,2378,2365
1368,5232,4839,5771
1370,5628,1612,3377
1380,2075,2433,3697
1383,3297,1950,770
1386,8,4954,1524
1388,5355,1130,1132
1391,3456,3060,714
1392,3188,6180,308
1400,3255,45,3720
1402,3029,5372,4578
1406,3416,5757,2151
1409,5202,3340,6246
1415,5420,784,3482
1419,4832,2696,2956
1425,5606,6187,6077
1427,607,781,1264
1431,901,5762,4535
1433,4822,5446,160
1435,1114,5372,3252
1450,5600,1652,4827
1453,4839,2000,752
1460,2396,6367,908
1464,2243,4162,3642
1465,4827,1057,637
1472,238,5130,1943
1479,730,4178,5396
1480,4481,4435,5090
1486,2155,5641,5406
1487,2056,1178,3981
1495,102,5024,2993
1499,2987,2336,603
1508,2352,2863,3097
1517,6319,781,3788
1518,5073,16,5196
1520,5121,4075,6355
1530,2492,6281,2049
1543,5656,545,3559
1547,149,3324,3632
1552,1467,4599,2271
1553,386,2717,1469
1558,3760,4820,4506
1562,802,2951,125
1565,5803,995,2312
1568,45,5280,1101
1569,1662,2057,898
1581,5005,1679,5983
1585,4883,2643,1977
1590,5444,1929,4411
1603,3757,1192,3048
1610,5224,4850,4824
1617,353,6183,3351
1626,6338,5732,4824
1628,2258,2993,2443
1632,3638,3489,4807
1633,4225,2570,3590
1644,725,3818,4780
1645,1028,6186,148
1647,5385,1251,6169
1648,5008,1110,4413
1650,3109,4761,2134
1654,2307,5240,1856
1660,2778,716,5271
1667,4878,4860,2290
1668,3331,3757,5070
1670,5239,4720,229
1672,3061,6188,2795
1680,6355,4972,770
1682,4636,1280,2255
1689,876,3484,268
1691,3686,4778,2860
1697,4910,5280,5485
1704,855,815,2607
1705,5424,3426,6211
1706,2162,1206,4618
1716,4652,201,440
1720,989,4108,1624
1723,3008,3722,3959
1725,2383,3554,4013
1726,2385,1540,5046
1728,5812,3511,3705
1730,1894,3724,5507
1733,2233,4289,4792
1735,3111,283,2317
1739,5151,1251,948
1741,6286,6102,4136
1754,5282,1675,5818
1755,4721,3442,1973
1760,1376,890,4765
1765,4792,7,2304
1766,4386,1910,1851
1776,3842,3967,217
1789,4778,1011,4560
1791,3296,1053,792
1794,1784,3120,2791
1800,6167,3733,4427
1802,5603,2184,720
1811,759,6041,4852
1817,2149,5208,2707
1821,3801,2379,3250
1822,2762,1014,4791
1825,3687,3716,3684
1828,1729,5767,3530
1832,4151,4300,3632
1833,470,5076,5121
1836,5803,2365,209
1837,2058,1226,3410
1844,5995,1195,3363
1846,1302,4729,5313
1848,4473,997,5027
1849,4861,4468,5573
1857,1294,1318,5980
1866,790,4111,1882
1874,1799,1185,722
1876,1772,1510,775
1878,2149,2398,4913
1881,1094,2898,6073
1886,3270,6179,2606
1906,2195,1191,3581
1912,4142,5327,3416
1913,6318,3710,3451
1914,3163,3340,1662
1915,5344,241,4779
1919,4278,5061,5586
1921,1942,3136,6185
1926,1272,6141,3743
1932,3789,1781,3209
1934,4327,6261,2224
1940,1238,4562,2224
1945,4803,2833,1414
1951,6312,108,2212
1967,363,6046,4436
1974,2065,4003,2096
1991,3446,6264,3221
1993,549,3832,3432
1996,4799,3709,5109
1998,1573,1529,3405
2003,6187,4127,2822
2004,5358,995,1877
2007,5686,4820,852
2009,5075,5264,1016
2010,5978,2094,306
2014,555,5003,1215
