,0,1,2
12,11492335936309568535,17764464212154054150,18408658254395408554
18,10148646483439384797,7485555917375377206,616599890540327900
34,17589803099571178195,8558532987808497045,8481515785406207880
37,8862161721352176034,17685507813907932042,14929323364532261313
39,3765357796537038917,705022095136135741,10384838416156557233
43,95534699229489738,4830485391068981522,4311256153092994673
47,9625417329462927996,17318106422226434291,18038216103646920581
50,8843878180198897353,16768912728731770360,2974615640137269804
53,13126726597111016901,6556543349161908838,17612866429597022542
65,17307071294823004300,15189504992747183346,13005131673851352604
67,1980208788538530631,16670287908307620804,11985823962755904903
74,13160380632087105737,13531775309680132087,5109406556374011925
79,12182943267906685190,17620084530296056183,6553327853368049449
80,1659048556222906404,12303984205206725587,13845619190118428638
81,18166833367903931520,12509256299837679571,10186013086946134802
90,18313016307291027437,3082206558926392083,16042894756920849831
93,3203958031723519740,11961917019320629696,10227538855466718877
95,8824926895073908623,11843422468826595676,7670602994518446656
96,9190279815470733206,14178221436492919513,8976623325479257438
100,8833294020388509854,1028239891293834073,2263692096468420979
102,11955184198568603068,14562036399218724681,5016939308223578264
103,138729371423987012,7776502321894310362,347813243576512201
107,7472872213725394875,12325612662908769674,7654624762377139081
108,1051423883883661777,4139895973250344541,15953841841199551978
118,548764000614338616,7580320604962961537,1481596400059292049
120,585252254690918155,16769892003674458464,714088157694436645
123,8662186903885522329,346181716110996968,12867276866101666925
132,9168050747829020293,13599892042409279396,12924441169895732317
137,10522717990935275336,2398357888119377659,265612041064892705
138,17502795209090741485,12759294304946873088,6732194042121026819
141,4706820142356323243,4891973851652660228,7193820435971210501
150,14592589254378871961,15425375269086273803,2132916268392025607
151,10634105918169389329,14054378189126583081,1232429796589830465
152,15048653306846725370,14459405438507899662,10849161451360283589
153,5550260534486170581,9632039107575918911,6922271300014987226
154,14865842805537817165,11627135643500709849,4253717812255136707
157,13442465797235888720,5538392040760211437,14383176295009255872
158,7849088762484679679,8079041704358026513,14361201873832142925
160,16865422666486896233,14420543614302236582,577682328430309361
164,8573612671531151728,11697098420259022091,17024694342607093318
169,14891332366295060903,1073041295610755503,1335808327580887171
170,15823227086136103422,14556725214958002808,10055256716849891048
175,2180851357673602309,4206114513491896060,17381609458456480221
