,0,1,2
3,869,699,593
11,17,863,906
18,332,150,8
25,541,0,351
27,162,148,898
43,50,569,51
44,721,10,150
54,522,450,177
55,714,275,573
60,304,137,145
61,601,897,669
62,719,240,111
64,955,457,248
65,17,789,351
66,351,723,468
71,291,740,874
79,432,571,245
81,222,303,895
103,565,80,753
104,690,693,807
107,390,160,437
113,699,585,657
121,363,867,911
123,547,733,653
124,833,532,117
128,929,74,526
142,275,483,833
143,160,949,856
154,276,897,642
157,871,265,899
161,655,57,835
167,287,783,108
168,586,72,73
178,146,913,305
182,541,376,908
185,181,650,919
186,596,608,868
187,906,181,189
188,935,576,843
197,913,217,408
198,35,910,893
203,842,586,867
206,578,355,849
209,714,211,918
210,614,762,940
219,356,310,263
220,888,849,256
227,150,76,141
266,237,28,190
271,894,646,13
273,395,33,719
279,68,468,875
282,632,441,538
284,651,565,875
293,125,647,696
297,308,526,84
312,141,412,151
314,721,819,576
323,443,335,875
324,650,274,704
329,165,608,856
330,108,208,716
334,848,302,552
344,251,291,403
345,160,13,661
346,434,600,821
353,494,153,658
365,719,42,896
370,299,233,757
388,760,395,921
399,532,196,694
401,225,429,443
402,222,850,521
404,144,288,639
406,935,703,655
407,556,939,859
424,251,699,906
425,555,894,395
426,233,871,23
427,45,751,67
428,110,721,761
438,91,580,4
442,91,387,906
444,606,96,716
449,183,540,159
451,479,776,8
454,281,673,6
458,100,355,930
462,895,879,848
466,486,102,457
467,249,354,602
469,605,948,80
470,173,416,702
473,883,882,620
474,817,573,669
477,415,116,699
478,403,543,73
484,785,710,162
488,911,84,33
497,374,916,35
500,689,226,247
519,864,336,869
520,120,463,117
525,14,239,226
527,708,821,880
529,291,0,403
534,551,83,879
535,651,882,367
545,490,302,310
546,434,443,573
553,916,383,739
560,918,596,149
572,84,176,932
581,940,0,195
583,579,582,96
588,585,441,180
594,658,30,557
595,452,0,283
598,867,459,170
599,551,165,176
604,162,936,693
617,160,892,290
630,1,812,821
631,151,83,717
636,521,471,443
637,127,896,708
640,638,863,495
643,542,296,753
654,543,858,234
670,837,516,823
674,251,544,247
678,394,383,307
680,42,782,660
685,632,476,614
687,367,252,361
695,570,180,80
698,863,696,118
700,7,105,102
701,127,367,292
705,537,552,940
707,19,518,744
711,354,669,450
720,786,349,74
722,495,33,585
726,170,23,526
728,17,719,217
729,359,932,536
732,522,397,290
742,172,242,450
745,253,693,126
749,826,544,45
750,559,134,100
752,837,751,141
759,63,579,810
764,918,433,258
767,431,906,26
772,390,286,762
775,817,910,652
778,16,333,303
779,642,16,412
780,39,218,15
788,714,234,739
798,689,615,679
809,675,263,663
814,813,257,878
818,19,130,601
828,776,456,218
830,195,239,174
831,90,51,361
834,475,601,869
838,565,363,812
847,528,350,403
851,90,848,459
854,354,864,75
861,229,36,638
862,691,587,350
876,758,787,536
881,383,80,706
885,660,150,459
887,130,554,850
889,31,902,539
890,251,250,842
904,82,57,677
905,228,264,457
931,645,120,174
933,228,145,29
938,105,708,101
941,715,882,877
943,80,682,916
951,196,429,258
953,744,556,693
954,208,624,374
