,0,1,2
1,483379,922779,507391
3,309424,3451935,483379
4,3451935,49226,7358775
6,20639844,9503477,5059224
7,3232842,992019,408820
9,410890,483379,5571519
11,7358775,35785,1522143
14,483379,483379,268129
16,483379,3409608,1802915
17,4706995,26458,408820
20,5059224,992019,326390
22,3409608,3451935,268129
23,5828625,5304919,3409608
26,3409608,3409608,3451935
27,5304919,5802639,26458
29,3451935,410890,6457003
30,3409608,462566,408820
34,3409608,309424,309424
36,5304919,2971315,922779
37,20639844,4991084,2994304
38,507391,483379,5571519
39,3451935,327513,410890
41,408820,3451935,3451935
43,7358775,2476239,338586
44,410890,507391,410890
46,1802915,410890,483379
49,483379,3409608,4991084
51,338586,1229273,6089399
53,7250741,628416,338586
54,4991084,7358775,2476239
56,1522143,2476239,312552
58,6457003,7873197,1802915
59,6089399,3409608,5059224
62,309424,2356137,3451935
65,992019,1410408,309424
68,4991084,4991084,7358775
69,7358775,410890,20639844
72,309424,9503477,7358775
74,7358775,4991084,507391
75,309424,2971315,410890
77,2356137,408820,221442
78,7250741,483379,5059224
81,4991084,1229273,1229273
83,2129375,268129,338586
85,2971315,6089399,5304919
87,268129,3451935,338586
89,3451935,7250741,4991084
92,35785,408820,1229273
93,3451935,7358775,309424
95,4991084,5304919,408820
98,483379,6457003,408820
100,309424,7358775,3409608
102,5415111,26458,408820
104,4991084,4991084,2971315
105,309424,6089399,408820
108,49226,26458,483379
110,4991084,49226,20639844
111,5059224,2994304,3451935
113,2129375,3409608,309424
115,5059224,6457003,5571519
117,3409608,5059224,483379
119,3232842,49226,3451935
122,7358775,483379,4991084
124,49226,4991084,408820
125,922779,3451935,6089399
129,1229273,6457003,7358775
130,3409608,338586,1229273
132,408820,7873197,309424
133,333690,7358775,4991084
136,309424,507391,7358775
137,309424,922779,408820
139,507391,1109307,338586
141,333690,49226,309424
144,3409608,6089399,1109307
145,13498349,7358775,408820
149,12094564,309424,2129375
152,7358775,3451935,7358775
154,268129,410890,268129
155,3451935,2356137,992019
157,338586,992019,410890
159,3232842,9503477,49226
162,354837,483379,992019
163,3451935,4706995,7358775
164,410890,309424,20639844
168,5571519,4991084,3409608
169,507391,3409608,7250741
172,13498349,309424,1522143
173,333690,309424,5304919
174,26458,1359689,49226
176,4991084,483379,7358775
177,483379,483379,5304919
180,5059224,3451935,7358775
182,628416,483379,3451935
184,3232842,992019,268129
185,7358775,35785,7358775
189,4991084,408820,20639844
190,7358775,7358775,922779
193,1229273,3451935,268129
195,507391,483379,408820
196,333690,4991084,309424
198,4991084,268129,6457003
201,3451935,20639844,2994304
202,3409608,6457003,3451935
204,26458,992019,507391
206,4706995,660609,507391
209,35785,3409608,7358775
211,4991084,507391,7358775
213,3409608,333690,5059224
214,410890,3451935,5571519
217,3451935,7358775,5571519
219,408820,483379,410890
220,309424,410890,922779
222,1109307,6089399,3451935
224,326390,408820,326390
226,5620985,309424,7358775
229,1109307,483379,1109307
232,483379,5059224,3451935
233,5536458,20639844,408820
234,4991084,483379,3232842
237,5571519,309424,3451935
239,309424,5571519,309424
240,2129375,922779,483379
243,7250741,408820,5059224
245,4991084,1802915,2971315
251,483379,4991084,309424
253,408820,2129375,309424
256,268129,507391,354837
259,309424,5059224,4991084
260,1802915,5059224,6457003
261,1229273,309424,327513
263,35785,4991084,4644625
265,16781085,660609,20639844
267,507391,922779,309424
271,6089399,483379,483379
274,1688099,5415111,408820
276,268129,3451935,5415111
277,3451935,4991084,5059224
278,1109307,992019,309424
280,992019,20639844,4991084
283,7358775,3451935,410890
285,20639844,3451935,408820
286,3451935,1522143,5415111
287,26458,20639844,20639844
291,483379,3451935,410890
292,408820,507391,410890
294,8938752,992019,408820
298,7358775,462566,20639844
301,483379,408820,4991084
303,408820,5304919,6089399
305,2129375,483379,7358775
307,3409608,7873197,4991084
308,338586,408820,483379
310,309424,2971315,5571519
311,5905334,26458,408820
313,3451935,483379,992019
314,483379,7358775,1229273
316,483379,483379,3451935
317,408820,507391,4991084
319,483379,410890,5620985
321,1229273,483379,483379
322,1229273,4991084,7358775
324,26458,7358775,5571519
327,1802915,7358775,5059224
329,9503477,3409608,327513
330,26458,5571519,7358775
331,660609,5571519,7873197
333,5304919,333690,309424
336,3451935,410890,4991084
338,2129375,268129,20639844
340,922779,3409608,992019
341,4991084,3409608,3232842
345,2129375,483379,309424
348,5059224,16781085,3232842
350,26458,483379,2994304
351,2476239,408820,5304919
353,408820,992019,1688099
355,20639844,483379,3451935
357,326390,2994304,507391
358,2129375,5304919,4991084
360,7358775,12094564,6457003
363,309424,7358775,992019
365,992019,483379,309424
367,7358775,20639844,1109307
369,483379,5571519,268129
370,326390,7250741,992019
373,5059224,483379,35785
375,16781085,483379,5571519
377,410890,483379,6457003
379,4991084,7358775,20639844
381,408820,309424,7358775
383,408820,922779,5620985
384,6457003,3409608,410890
388,6457003,992019,408820
389,1802915,3451935,408820
391,922779,309424,7358775
396,49226,1229273,5059224
397,5059224,309424,992019
399,408820,326390,4991084
402,992019,507391,7250741
403,408820,20639844,6457003
406,2971315,7358775,3451935
408,309424,3409608,3451935
410,1802915,992019,20639844
411,4991084,268129,49226
413,1688099,268129,5571519
415,4991084,268129,9503477
417,410890,309424,3409608
418,408820,4991084,1229273
420,7873197,4991084,410890
422,7358775,992019,20639844
424,309424,3451935,26458
428,1688099,1229273,7873197
429,5059224,7358775,3451935
431,3451935,3451935,992019
434,2476239,26458,483379
436,922779,6457003,4991084
437,20639844,5059224,408820
440,20639844,326390,7358775
442,5571519,922779,1522143
444,309424,1229273,1229273
445,3409608,992019,3451935
447,9503477,12094564,326390
448,309424,408820,992019
452,3451935,410890,12094564
454,3451935,7358775,483379
456,6089399,7358775,4097567
457,7358775,3232842,338586
461,7250741,992019,5571519
463,483379,3409608,4706995
464,1109307,268129,309424
466,1229273,1109307,6457003
469,326390,7250741,7358775
471,922779,1688099,2994304
472,309424,6457003,992019
474,410890,1688099,483379
475,3409608,338586,20639844
477,992019,1802915,3451935
480,309424,309424,268129
482,2971315,7358775,268129
484,5571519,7250741,20639844
486,408820,49226,992019
488,7358775,2971315,7358775
490,309424,8938752,462566
492,268129,408820,309424
493,267306,7250741,5571519
496,3451935,1359689,338586
497,309424,2994304,7358775
499,309424,3451935,483379
502,5059224,922779,483379
505,7358775,3451935,6457003
507,333690,26458,3409608
508,507391,992019,267306
510,410890,408820,268129
512,4991084,1802915,309424
514,2129375,992019,3409608
516,20639844,20639844,3451935
519,3409608,410890,7358775
520,2129375,5059224,338586
521,5571519,7873197,408820
523,7358775,628416,3451935
527,20639844,1229273,2994304
528,20639844,410890,408820
530,483379,992019,7358775
532,410890,410890,628416
534,992019,4991084,3409608
535,268129,922779,410890
538,507391,6457003,483379
540,408820,5059224,5304919
541,483379,4991084,3409608
542,408820,483379,408820
545,12094564,408820,483379
546,1109307,922779,309424
548,4991084,5571519,660609
549,410890,8938752,1229273
552,507391,992019,309424
554,3451935,5059224,309424
556,309424,268129,3451935
558,410890,483379,408820
561,1229273,309424,507391
563,309424,309424,309424
564,354837,5059224,992019
566,5571519,20639844,7358775
568,507391,408820,309424
570,3451935,309424,309424
572,309424,2994304,5571519
573,5059224,309424,462566
576,35785,410890,2994304
578,1229273,6089399,507391
580,7358775,354837,1802915
585,20639844,1522143,3409608
587,1109307,333690,3409608
588,5059224,660609,7358775
591,7358775,6457003,3409608
593,333690,4991084,309424
594,483379,2356137,4644625
597,3451935,20639844,408820
598,3232842,7358775,9503477
600,7358775,35785,7358775
601,7358775,309424,7358775
604,20639844,309424,338586
609,462566,4991084,26458
611,1522143,26458,309424
612,7358775,1229273,2356137
615,5059224,7358775,462566
617,408820,49226,483379
619,1229273,267306,483379
620,507391,4991084,5415111
621,2971315,992019,5304919
622,483379,354837,20639844
626,5620985,333690,483379
627,6457003,6457003,1688099
630,408820,4991084,7358775
631,4991084,16781085,4991084
632,309424,408820,6457003
634,1109307,4991084,5059224
636,4991084,483379,483379
638,5059224,507391,309424
641,2129375,1802915,5415111
643,309424,6457003,992019
644,1688099,1728020,992019
646,309424,483379,7358775
649,6457003,7358775,1229273
651,6457003,507391,1109307
652,268129,5304919,3409608
654,3451935,483379,268129
656,4991084,309424,3451935
658,483379,483379,2476239
659,309424,3451935,7358775
663,309424,507391,4991084
666,5304919,507391,4991084
667,507391,408820,408820
669,309424,1229273,483379
671,4991084,338586,4991084
673,2129375,309424,992019
675,483379,408820,309424
676,49226,1109307,4991084
677,309424,309424,12094564
678,922779,20639844,7358775
680,1109307,5304919,5059224
682,1802915,7250741,7358775
686,3451935,1688099,354837
687,2129375,2356137,3451935
690,309424,4991084,992019
692,309424,4991084,309424
694,5571519,5059224,354837
696,4991084,922779,2356137
700,3409608,3451935,26458
702,4991084,7358775,992019
703,5571519,462566,309424
706,7358775,2994304,20639844
707,507391,338586,483379
708,5059224,483379,4991084
710,1109307,354837,268129
713,410890,507391,268129
714,6457003,408820,49226
716,507391,4991084,1410408
717,410890,7358775,7358775
720,6457003,410890,507391
723,35785,408820,5059224
725,6457003,7358775,7358775
727,309424,2129375,26458
729,7358775,3451935,7250741
730,326390,326390,26458
732,20639844,20639844,9887454
734,1109307,2971315,483379
736,992019,922779,408820
738,507391,922779,992019
741,309424,3451935,507391
743,6457003,507391,410890
744,3451935,483379,1229273
746,992019,408820,20639844
749,408820,7250741,4991084
751,268129,483379,4991084
753,483379,7358775,6089399
754,309424,408820,7873197
758,7358775,992019,6457003
759,6457003,7358775,309424
762,7358775,3451935,309424
764,35785,5059224,410890
765,1229273,483379,483379
768,483379,1109307,268129
769,20639844,338586,4991084
773,4991084,2129375,309424
775,507391,3451935,5059224
777,410890,338586,4991084
778,3451935,326390,4991084
780,410890,2476239,7358775
782,408820,7358775,309424
783,2994304,267306,1688099
786,309424,5571519,8938752
788,267306,9503477,268129
790,408820,309424,408820
792,3409608,410890,20639844
795,338586,7358775,507391
797,7250741,3451935,992019
798,4706995,2994304,6089399
800,7358775,49226,992019
802,6457003,309424,309424
804,2971315,483379,628416
805,1229273,992019,326390
806,992019,483379,5059224
807,9503477,2971315,507391
811,3451935,2971315,5571519
812,6457003,7358775,1229273
814,7358775,4991084,992019
816,268129,1688099,483379
819,5304919,483379,309424
821,5059224,7358775,333690
822,268129,2971315,2476239
825,309424,309424,9503477
827,20639844,408820,483379
829,5304919,35785,7358775
831,5571519,4991084,3451935
833,6457003,4706995,3451935
835,3409608,4097567,507391
837,408820,483379,268129
838,309424,20639844,483379
842,309424,5415111,6457003
844,3451935,410890,1802915
847,7358775,408820,410890
849,3451935,5802639,2356137
852,3451935,5059224,408820
853,3451935,3451935,922779
854,6457003,410890,5059224
857,309424,309424,4991084
858,6089399,309424,49226
860,12094564,309424,507391
862,1802915,1229273,7358775
865,9503477,483379,309424
866,483379,3451935,309424
867,408820,268129,4991084
869,26458,20639844,408820
871,3451935,309424,1522143
873,309424,408820,16781085
875,6457003,6089399,9887454
877,7358775,49226,1229273
878,5059224,3581741,20639844
882,408820,20639844,483379
884,395401,309424,338586
886,326390,7358775,5571519
888,268129,992019,326390
889,7250741,1688099,7250741
891,20639844,7358775,5059224
893,327513,20639844,4991084
897,49226,483379,410890
898,309424,408820,7250741
899,5571519,2994304,3451935
901,462566,4991084,4991084
904,2476239,408820,7358775
906,410890,309424,5571519
908,3409608,5059224,3451935
911,7358775,26458,49226
913,6457003,7873197,992019
915,483379,5536458,333690
917,408820,408820,2994304
919,4991084,2971315,483379
920,7358775,20639844,3451935
922,333690,309424,309424
925,5059224,9503477,4991084
927,6089399,7250741,6089399
928,20639844,338586,507391
930,3451935,483379,628416
933,507391,3451935,6457003
934,2971315,410890,410890
937,5059224,2971315,309424
938,1522143,5059224,1229273
939,7358775,5059224,309424
942,1229273,7358775,2994304
944,309424,483379,922779
946,6457003,408820,3451935
948,1229273,483379,1229273
949,309424,3409608,268129
951,5571519,408820,3451935
953,7358775,49226,483379
955,20639844,410890,408820
957,9503477,309424,507391
959,2994304,20639844,309424
961,268129,410890,1802915
963,507391,1109307,408820
966,660609,6089399,2994304
968,9887454,7358775,20639844
971,3409608,20639844,483379
972,5571519,2971315,462566
973,7358775,410890,20639844
975,26458,6457003,483379
976,3409608,5571519,3409608
978,1229273,267306,5304919
980,267306,1109307,6457003
982,309424,7358775,3451935
985,3451935,628416,992019
987,922779,5571519,1229273
989,410890,3451935,5828625
991,20639844,4991084,483379
993,5059224,5059224,6457003
996,7358775,309424,507391
998,3409608,507391,309424
1000,3409608,333690,1410408
1001,268129,3451935,3409608
1002,309424,6457003,5059224
1006,408820,507391,268129
1009,333690,4991084,410890
1010,326390,5304919,1229273
1011,6089399,4991084,992019
1013,1522143,326390,5536458
1015,6457003,26458,1229273
1017,3451935,6457003,483379
1019,483379,483379,2994304
1020,7358775,408820,992019
1022,507391,628416,3409608
1023,3451935,309424,7358775
1026,221442,5059224,326390
1029,6457003,309424,354837
1030,309424,309424,1728020
1032,9503477,507391,309424
1035,26458,408820,483379
1039,3451935,4991084,1688099
1040,3451935,992019,268129
1041,20639844,1109307,3409608
1044,7358775,309424,5802639
1045,2129375,5059224,660609
1047,2356137,309424,410890
1049,7358775,2994304,462566
1052,3409608,992019,5415111
1054,7358775,326390,49226
1055,483379,3232842,309424
1057,20639844,408820,326390
1058,1688099,268129,6457003
1059,5304919,6089399,483379
1063,408820,4991084,7358775
1065,483379,20639844,7250741
1067,309424,3451935,4991084
1069,4991084,922779,26458
1070,5571519,4991084,3451935
1072,7250741,408820,3451935
1074,483379,507391,309424
1076,483379,483379,5571519
1080,4991084,410890,1688099
1083,5828625,4991084,483379
1086,507391,410890,1229273
1087,2971315,5571519,20639844
1088,1802915,3451935,333690
1089,309424,309424,338586
1091,309424,7358775,5059224
1093,5571519,309424,309424
1096,3451935,992019,483379
1098,7358775,309424,3409608
1100,483379,309424,7250741
1102,6457003,483379,309424
1103,5571519,410890,483379
1105,483379,5415111,7873197
1106,20639844,309424,4991084
1108,309424,3451935,4644625
1110,5059224,992019,483379
1111,267306,5059224,3451935
1113,309424,7250741,5059224
1115,4991084,483379,6457003
1117,5059224,309424,20639844
1122,5059224,410890,20639844
1123,5304919,483379,35785
1126,410890,4991084,9887454
1127,410890,6089399,7358775
1129,5571519,7358775,2129375
1132,483379,7358775,267306
1134,26458,408820,1688099
1136,1229273,3451935,26458
1137,992019,7358775,410890
1138,5059224,483379,483379
1140,1688099,2129375,3451935
1141,333690,5571519,507391
1144,1229273,7358775,35785
1148,3232842,483379,3409608
1150,6457003,35785,327513
1151,20639844,2994304,483379
1153,2994304,483379,3451935
1155,410890,3451935,1688099
1157,4991084,483379,7358775
1158,20639844,4991084,3451935
1160,483379,7358775,410890
1162,2994304,268129,3409608
1163,7358775,6457003,7358775
1167,20639844,1802915,5059224
1168,5415111,1802915,1229273
1169,3232842,410890,3232842
1171,26458,309424,268129
1172,483379,507391,4991084
1174,507391,507391,483379
1176,3451935,483379,7358775
1178,20639844,410890,20639844
1180,6457003,309424,4991084
1182,4991084,408820,3451935
1185,922779,3409608,326390
1188,26458,5304919,1229273
1189,3451935,5571519,309424
1190,3451935,5059224,5059224
1194,309424,410890,20639844
1196,408820,483379,3451935
1197,408820,309424,410890
1200,1688099,309424,20639844
1201,3409608,5059224,1229273
1203,3451935,7358775,408820
1205,3451935,6457003,660609
1207,992019,7358775,408820
1209,9887454,7358775,20639844
1212,410890,408820,354837
1213,309424,7358775,2971315
1214,5571519,309424,1109307
1217,20639844,2476239,7358775
1218,3409608,49226,338586
1220,6457003,268129,408820
1223,4991084,326390,309424
1225,9503477,483379,408820
1228,3232842,992019,309424
1230,408820,309424,326390
1232,410890,408820,5620985
1234,6089399,410890,6089399
1235,507391,4991084,5059224
1237,20639844,408820,49226
1239,410890,408820,5571519
1241,1802915,20639844,7358775
1243,6089399,483379,4991084
1247,6457003,5304919,309424
1249,309424,309424,2971315
1251,6089399,2129375,268129
1252,2129375,5571519,408820
1255,20639844,483379,26458
1259,507391,5571519,13498349
1262,7358775,9503477,410890
1265,483379,20639844,7250741
1267,20639844,483379,3409608
1272,992019,483379,507391
1274,483379,3409608,6457003
1278,1229273,9503477,483379
1280,3409608,992019,483379
1281,268129,483379,8938752
1287,5059224,3409608,7358775
1289,483379,333690,507391
1292,410890,483379,483379
1295,12094564,4991084,26458
1298,483379,5571519,507391
1300,483379,660609,1229273
1302,483379,483379,408820
1303,6457003,408820,5571519
1305,20639844,5571519,338586
1308,26458,326390,483379
1309,309424,483379,1802915
1316,7358775,410890,408820
1320,2356137,309424,483379
1322,992019,1802915,268129
1323,309424,408820,309424
1325,333690,922779,483379
1329,7358775,5571519,268129
1330,3451935,309424,483379
1331,309424,9503477,6089399
1332,1229273,309424,35785
1334,1229273,309424,922779
1338,7358775,4991084,5304919
1340,35785,992019,1229273
1342,7358775,6089399,309424
1343,410890,7250741,6457003
1345,3409608,660609,4991084
1349,410890,20639844,20639844
1351,4991084,410890,35785
1353,309424,333690,4991084
1354,483379,7358775,309424
1358,5059224,5828625,268129
1359,628416,1229273,338586
1361,462566,7358775,309424
1363,3451935,7358775,483379
1364,4991084,309424,26458
1366,5415111,483379,922779
1367,1109307,268129,3409608
1368,309424,507391,309424
1370,326390,267306,483379
1372,6089399,49226,268129
1374,922779,483379,2476239
1377,7358775,408820,5571519
1379,507391,326390,267306
1380,410890,410890,4097567
1382,1410408,338586,20639844
1385,992019,507391,483379
1386,9503477,1229273,483379
1389,483379,410890,5571519
1390,7358775,4706995,1229273
1393,6457003,507391,309424
1395,3451935,4991084,6457003
1398,507391,628416,483379
1400,309424,7358775,483379
1401,4991084,3451935,3451935
1402,992019,408820,6457003
1405,3451935,410890,4991084
1408,5059224,507391,5571519
1411,309424,20639844,5059224
1412,7358775,483379,12399462
1415,4991084,992019,5620985
1416,3451935,7358775,3451935
1418,333690,410890,5571519
1422,410890,309424,309424
1423,309424,5059224,483379
1425,992019,309424,3775694
1428,992019,3451935,333690
1429,410890,2129375,5571519
1431,992019,483379,354837
1433,2994304,268129,3409608
1435,309424,5059224,5059224
1438,483379,5571519,1802915
1439,2971315,410890,483379
1445,268129,4991084,3451935
1447,35785,6089399,333690
1456,507391,2129375,20639844
1461,326390,309424,507391
1463,992019,268129,483379
1465,483379,5304919,309424
1466,9503477,1229273,12094564
1468,5620985,483379,483379
1469,7358775,309424,3409608
1473,483379,410890,3451935
1475,309424,992019,309424
1477,483379,483379,6089399
1479,20639844,7358775,338586
1481,309424,309424,660609
1483,7358775,1109307,483379
1484,9503477,410890,408820
1493,3409608,507391,483379
1495,7873197,483379,5905334
1499,7358775,1410408,3451935
1502,7358775,26458,20639844
1508,483379,3451935,20639844
1509,5059224,268129,3451935
1511,2994304,483379,309424
1513,309424,5304919,992019
1515,309424,7358775,483379
1517,408820,992019,3581741
1519,13498349,4991084,309424
1523,410890,2129375,3451935
1526,6089399,20639844,408820
1529,410890,4991084,338586
1530,1109307,2129375,7358775
1533,338586,309424,507391
1535,268129,7358775,268129
1538,7358775,3451935,333690
1539,7358775,5571519,26458
1541,1802915,1229273,483379
1543,2356137,20639844,7358775
1544,309424,7358775,2971315
1546,5059224,3451935,309424
1548,268129,309424,408820
1550,35785,5304919,2994304
1552,3409608,410890,5620985
1554,408820,3451935,408820
1556,309424,483379,507391
1558,7250741,333690,9503477
1561,5059224,408820,507391
1563,660609,483379,20639844
1567,483379,3451935,1229273
1569,7358775,408820,6457003
1571,1229273,333690,7358775
1573,5059224,6457003,483379
1576,6457003,309424,6089399
1577,309424,20639844,309424
1578,338586,5304919,3409608
1581,483379,3409608,5059224
1583,5571519,3409608,408820
1584,410890,309424,326390
1587,1109307,7358775,1802915
1588,3451935,9887454,2994304
1591,4706995,6457003,26458
1592,5059224,7358775,338586
1593,20639844,408820,408820
1596,6089399,333690,309424
1598,268129,309424,6457003
1600,5059224,4706995,4991084
1602,483379,507391,2971315
1604,922779,268129,2129375
1606,507391,309424,408820
1609,2971315,20639844,3451935
1610,408820,5620985,1109307
1613,1688099,408820,7358775
1615,483379,326390,5571519
1616,507391,1802915,5059224
1618,326390,483379,3451935
1619,483379,7873197,5571519
1621,410890,4706995,1802915
1625,309424,5059224,221442
1626,922779,26458,312552
1628,462566,309424,3409608
1629,309424,1229273,3409608
1630,2476239,309424,410890
1631,7358775,3409608,1109307
1633,20639844,309424,4991084
1636,1229273,5059224,26458
1639,3409608,20639844,268129
1640,7358775,4991084,408820
1644,483379,7358775,408820
1645,309424,5059224,309424
1647,3409608,7358775,408820
1649,483379,5620985,483379
1650,4991084,4991084,483379
1654,395401,922779,408820
1656,410890,992019,4991084
1658,4991084,309424,7250741
1659,338586,1802915,5304919
1660,410890,4991084,26458
1663,5059224,1229273,309424
1665,20639844,20639844,3409608
1666,992019,5304919,35785
1668,309424,1229273,7358775
1670,3451935,309424,7358775
1673,338586,922779,7358775
1674,7873197,5571519,26458
1677,507391,7250741,3409608
