,0,1,2
0,17533,15006,16446
2,3684,17463,18526
3,17159,15328,18152
9,1645,16550,15551
10,16244,16132,143292
12,142988,16561,13072
14,15294,3911,18357
15,17567,17142,18503
19,13896,15875,15294
24,16189,13703,3891
28,12763,16635,17495
35,13308,14256,15279
46,3740,17647,14235
59,13074,15826,17490
66,17583,17760,18387
67,15255,17473,16529
68,3684,14074,17624
71,17885,17781,3885
73,13963,13263,17608
74,14074,16887,14915
77,17070,17537,18420
81,12748,14933,16698
85,1646,18171,18174
90,15006,3771,143713
91,17982,16452,17585
99,3578,14256,17684
112,12521,13703,3803
120,63,15574,3623
124,143008,18388,14901
133,3626,17507,143231
135,17885,17121,18524
138,17865,12879,12968
146,3751,15280,12885
169,144189,15130,143666
179,17935,3826,3854
183,1578,16245,15761
185,15747,17003,16497
203,15564,13424,17668
217,16591,13988,16317
218,13300,17451,15907
219,17767,16025,15873
220,17473,144086,13162
226,17668,12499,13308
240,68,17522,15267
253,143292,15467,17608
256,16514,17659,13308
264,13665,14381,18412
265,18261,143174,17583
267,17919,1646,15280
268,16887,12565,14642
269,143083,18161,15817
271,17964,14905,18150
272,13024,13005,14254
278,17608,3782,12567
279,16425,14318,3751
289,12956,143713,12861
291,16039,14602,14135
297,3578,16284,143962
303,1565,18503,3667
304,17570,16585,13162
317,15921,15267,1588
320,15731,14982,3914
326,3747,15205,17490
329,13597,17682,13416
345,16561,18530,17781
347,16429,14905,143355
350,16588,1551,18356
351,143174,144189,17273
353,17883,144032,18326
355,28,143726,3674
372,13162,15267,3751
373,18420,17585,17070
382,16903,13263,16778
386,18064,14553,16490
388,13672,3882,14217
391,1565,14943,143513
392,28,17668,13172
402,17682,18055,3578
419,18326,15611,12533
426,16514,16402,13116
433,3902,15673,14943
440,17885,143513,16611
448,17885,14212,17970
451,13005,13798,3911
457,17003,16195,143513
471,15925,18464,16548
478,17142,12458,16560
480,15130,16156,14381
485,17636,13941,13673
486,13597,17604,15921
495,14221,15997,13295
496,15286,14943,13116
498,16396,15700,12919
500,17885,16446,13530
501,16429,1554,16887
505,16589,17522,8
509,16778,17121,16088
513,18326,14982,16452
518,17964,15564,15205
525,14022,17029,17604
527,18152,1552,3632
535,13670,12505,17703
553,17760,15907,1551
558,18042,3729,18171
562,3687,15154,15255
563,15761,18388,3762
566,13295,16505,16189
567,18356,13588,15001
579,17604,16497,16157
585,14352,16887,18484
587,14641,17220,15611
590,3914,16221,3886
598,16114,16778,144081
600,13300,17533,16887
602,17649,13096,17533
605,17682,17964,17537
607,3667,17649,15922
613,14344,17585,12805
615,144032,14170,12968
624,13644,1640,16516
630,16396,15267,16521
632,18254,16832,15574
642,143008,17873,143330
648,14602,15154,15873
664,3647,17481,16332
667,13844,16344,16510
672,15212,17964,17475
674,14915,16510,17686
677,18064,13231,17545
679,14013,15921,16613
684,16768,143379,15513
689,13162,15875,16550
692,1646,14149,15907
697,16513,16550,16510
704,14764,143962,17225
707,15513,15605,15570
716,18134,12939,17964
721,13116,12920,14235
723,3749,16522,3671
724,15757,3630,15174
728,143008,3578,17585
733,14492,17797,14490
734,15839,15564,13928
740,13588,17473,3578
751,18152,17495,14764
777,14975,15881,18532
787,3772,16709,17619
789,143292,13882,14492
800,17668,16887,18326
808,143962,14289,3653
810,15922,14023,1646
814,3758,14602,18254
815,1563,15484,13928
826,12499,17076,15979
827,14943,15006,13295
829,17745,14913,16514
834,14911,3671,17781
836,17781,15627,3758
844,15205,16657,18068
847,143008,14830,15928
852,15255,3906,16936
862,16446,17477,3872
