,0,1,2
0,1693,1153,1663
10,192,1172,1800
12,955,83,641
15,1444,1458,161
30,41,1811,1538
31,1799,689,1529
32,114,465,497
33,944,296,1343
41,5,1398,1605
42,1022,1826,1302
46,1283,105,1500
51,783,325,684
52,556,1121,544
59,1361,1698,1503
62,1561,878,458
63,132,1466,229
68,1507,1684,1606
73,560,1617,644
77,628,300,1227
80,875,864,1483
92,1362,72,1343
108,936,1375,1567
110,647,1331,1143
116,767,419,1262
118,1511,40,65
128,281,529,541
130,840,1196,1899
142,638,1070,1903
145,1368,75,962
153,1421,1877,620
154,1159,1470,1900
163,509,721,293
164,1816,1365,258
169,823,80,1551
183,864,1623,447
188,1184,1700,344
193,1679,1476,1565
204,347,167,1351
209,1445,788,136
213,1365,1783,862
215,1308,25,1082
219,1063,1522,1477
220,374,649,1154
222,360,1061,1357
229,68,1151,277
246,1107,450,293
249,362,1242,1691
252,597,1688,1195
255,659,162,15
258,36,502,1409
265,1259,35,6
270,692,643,4
285,1602,506,1562
297,1213,488,638
301,786,150,916
302,1333,85,1549
303,1746,837,736
312,1791,611,732
319,273,1675,191
322,781,1270,1660
325,1827,300,1665
330,935,780,1076
332,1357,285,202
334,1246,791,500
339,871,1541,377
348,159,1568,1756
349,1340,151,181
350,1794,1610,818
351,1570,1910,855
356,1033,275,476
363,1490,275,399
367,1216,872,687
372,968,884,391
375,307,1522,1195
377,1552,563,527
378,1443,35,25
383,884,102,242
392,305,745,871
394,1038,1044,192
397,315,1022,823
400,656,1046,1772
410,1316,1153,15
411,243,1467,107
415,1165,45,392
416,1789,1182,1143
421,82,620,1465
430,1001,291,968
433,638,1663,874
434,799,100,697
435,584,1525,130
436,880,1251,1472
438,525,1082,1046
440,1569,1739,1669
459,612,1303,1145
461,463,354,299
469,1758,61,1074
472,58,407,1221
480,270,753,509
489,37,1911,1529
494,133,721,1318
502,1905,925,1570
504,306,1303,816
509,665,563,711
516,1758,1332,771
518,551,1249,381
531,554,1332,157
551,1213,713,1170
554,5,382,550
556,1786,542,799
568,892,138,1090
575,272,1255,1663
585,181,585,1571
588,300,432,1628
594,482,477,115
600,1241,1210,1195
602,529,606,616
617,1841,1188,172
625,700,1033,1361
647,1076,1468,1826
650,1137,1891,862
652,842,290,616
653,1460,1127,1332
665,1647,1574,1072
666,497,964,137
669,1443,1322,944
671,809,1476,615
675,522,938,1191
676,479,1728,1898
678,1240,1552,279
679,833,65,734
680,1378,746,388
685,1512,1617,1783
692,580,1609,1103
694,831,860,1764
695,865,963,924
701,704,1511,24
706,245,1250,641
709,868,527,1186
714,600,712,664
718,1452,799,1394
726,1026,501,1255
728,572,26,1021
732,1176,1228,949
742,998,1487,970
756,1660,865,1613
765,1115,455,1604
767,1665,1280,363
771,1647,1878,726
795,1439,1055,726
799,1384,1153,1132
801,46,1850,1854
802,1116,1296,1873
805,1425,1246,50
809,690,72,1128
813,833,580,1628
814,388,1365,1700
819,1035,1868,683
823,322,564,633
827,1257,264,1484
831,2,875,1322
833,246,885,1032
834,754,1640,1206
835,1128,700,546
837,1196,1782,1262
849,8,51,520
857,57,1614,1725
862,994,989,1044
866,1851,1074,488
868,1491,968,493
872,1640,464,1898
875,1365,418,23
878,1691,1661,542
882,227,877,1236
886,1724,113,840
888,382,827,740
895,738,85,1519
897,1442,516,1246
909,1837,1389,1684
913,982,125,617
917,825,1691,797
927,1638,77,1466
938,1236,524,712
950,542,1558,1804
952,963,1707,414
953,717,1092,465
959,701,1451,1887
970,1025,1172,1196
971,827,1290,711
973,1891,922,3
976,936,585,559
977,1066,1558,1773
984,1448,1128,1480
986,1175,1626,1773
989,590,502,945
990,568,1508,1764
991,709,1021,864
1001,1684,1340,211
1002,113,1177,419
1004,1870,745,890
1006,542,1350,1292
1015,1307,1439,725
1026,1843,151,1148
1027,50,389,1255
1029,788,1332,1613
1040,1040,407,1466
1047,924,1903,130
1057,37,1272,843
1061,509,433,392
1067,1055,1667,752
1074,608,102,706
1076,258,44,1025
1080,1351,628,940
1085,56,578,1434
1092,512,1019,310
1100,1125,1040,383
1104,37,527,839
1107,1333,620,285
1109,1287,15,233
1110,967,264,447
1116,459,581,1387
1121,1115,1836,538
1128,556,594,649
1129,135,1444,1661
1130,192,1278,1210
1137,1444,5,1668
1143,1544,1061,964
1145,738,166,751
1155,1529,345,717
1156,1347,830,1365
1159,1303,1632,287
1170,1197,1534,725
1193,655,86,208
1201,483,450,819
1203,168,539,1200
1206,682,1725,1187
1214,193,805,394
1219,684,1686,1320
1221,1518,994,1773
1228,1874,4,1911
1232,922,88,950
1233,1737,1346,1525
1243,1302,161,1210
1244,934,610,397
1247,402,744,218
1251,1525,1788,1031
1257,1057,464,1834
1268,538,1226,1250
1276,1572,1551,273
1283,185,776,179
1287,99,970,1900
1296,549,642,1236
1297,158,345,830
1299,1645,1250,291
1300,1471,1623,600
1303,1567,1337,1314
1304,706,927,245
1309,607,1704,1489
1314,537,1605,1249
1318,1640,476,477
1320,25,98,1196
1325,1035,1083,1688
1326,1487,402,82
1328,756,270,1243
1352,1161,1154,1224
1354,767,1512,3
1357,332,1029,1699
1359,762,1412,1569
1365,3,744,1115
1370,524,209,1452
1375,1052,1508,88
1378,92,88,1176
1380,649,18,1767
1381,1440,1281,138
1384,778,529,1112
1396,182,1781,501
1401,227,716,1490
1404,26,1193,497
1405,284,1513,1050
1409,584,1873,694
1412,590,29,1633
1415,1744,27,745
1421,656,1847,504
1422,385,559,387
1426,1333,502,512
1431,371,4,279
1432,1231,1240,1292
1440,1193,1211,1567
1449,764,476,801
1454,1306,1606,518
1456,367,23,880
1458,150,1322,1562
1461,1875,498,1724
1462,172,1280,300
1472,1247,48,363
1477,136,958,635
1480,1176,1515,842
1491,1073,1212,1643
1492,842,277,521
1493,531,1736,860
1513,1264,1561,86
1515,381,1023,15
1516,870,1774,1148
1519,546,817,1335
1520,938,1279,1671
1522,1518,252,1214
1525,339,39,144
1527,45,1643,1392
1530,1464,1242,826
1531,1361,209,1739
1536,1519,1662,1587
1544,72,4,353
1547,447,28,22
1549,771,574,562
1558,322,786,1815
1572,1854,1567,45
1574,549,1389,508
1578,291,848,218
1580,1626,241,857
1583,845,278,1654
1585,637,1654,1046
1597,1026,1290,102
1606,157,1872,732
1615,1888,549,1036
1619,1436,862,4
1621,26,426,1485
1630,258,982,1860
1633,1595,611,809
1634,899,418,100
1636,1074,1169,859
1647,842,1574,1647
1654,1040,369,1225
1658,425,1557,1429
1677,570,487,1697
1680,464,430,6
1691,1206,1525,289
1700,1617,310,1823
1704,138,1645,1367
1705,1686,296,512
1707,502,1247,354
1713,1897,1072,1916
1717,1179,1684,1148
1718,1599,1018,58
1719,590,534,1887
1720,570,50,1725
1730,354,283,522
1732,1256,956,1372
1734,558,50,1287
1744,330,1600,1043
1753,1529,72,1821
1758,968,1480,1785
1761,933,1214,488
1765,21,809,998
1767,1486,355,1916
1769,1580,508,685
1774,1456,415,1611
1776,72,915,385
1783,525,572,497
1794,975,1786,1489
1796,1724,1549,1594
1797,871,1249,476
1800,585,1242,306
1804,35,1031,322
1813,868,705,607
1818,1044,1412,369
1819,24,1243,274
1821,1158,88,1675
1823,1047,709,1552
1831,229,1243,1513
1845,630,1023,479
1847,167,1024,1092
1852,1657,1115,1906
1854,1375,4,258
1861,209,1128,474
1862,80,520,1172
1875,1373,1903,396
1878,493,1387,1869
1879,272,516,922
1880,283,638,167
1885,1594,862,106
1894,529,789,1614
1895,1626,1552,1055
1901,1421,1557,1498
1908,1650,798,19
1911,1205,1112,1057
