,0,1,2
7,265,289,54
12,49,256,86
16,55,307,70
19,75,280,88
23,401,151,280
25,418,322,114
32,27,22,492
44,221,180,378
51,422,448,387
52,156,246,402
65,121,210,98
74,157,235,63
79,97,413,204
80,75,279,124
81,393,168,22
83,259,273,317
84,323,476,1
85,370,161,346
89,68,421,392
102,418,135,423
111,256,323,182
118,46,276,317
119,289,95,135
122,297,408,310
130,401,243,38
133,252,117,387
137,26,338,300
140,307,378,301
143,322,408,454
146,454,404,384
147,401,246,297
162,183,271,437
171,437,88,8
175,398,379,283
190,389,237,46
192,350,96,231
201,507,298,241
202,178,333,221
207,329,284,50
211,172,255,280
218,266,378,370
222,2,91,333
225,426,246,240
226,288,418,323
228,335,438,39
229,409,329,334
234,345,17,75
236,209,3,210
254,492,231,316
263,273,368,349
285,2,302,390
286,214,37,370
290,413,500,394
291,18,216,95
292,265,421,20
293,390,504,144
303,377,310,75
308,67,21,114
318,297,331,219
319,281,55,247
324,380,432,3
326,380,37,315
337,307,422,40
340,393,24,107
343,227,433,366
344,34,0,184
351,310,40,346
352,71,253,284
354,59,323,383
362,314,124,380
363,332,42,13
364,273,107,282
371,295,346,325
372,253,328,187
373,216,309,503
376,322,346,325
382,158,86,412
399,507,248,191
400,141,391,92
415,164,284,88
419,227,116,355
420,247,141,271
428,68,418,421
430,374,491,86
438,429,134,377
439,142,104,367
444,9,120,216
446,27,91,466
450,262,366,129
451,258,34,472
457,484,103,396
460,249,444,173
463,374,198,47
467,435,466,27
480,407,269,260
481,391,183,8
495,347,391,200
497,73,215,121
501,256,500,152
504,257,107,24
508,189,2,408
509,50,404,54
