,0,1,2
6,946652,2288625,664
10,51483,2356137,1637508
12,3322,267306,1109307
17,3026080,3451935,992019
30,1118753,5415111,3964234
35,26458,1229273,1129284
40,4970,3451935,338586
41,267306,26458,2200906
42,7358775,267306,842550
46,5415111,1756416,395401
54,333690,1751856,309424
67,4676676,269541,2280164
68,1890906,2015674,3964234
80,1688099,268129,232648
81,417266,309424,6660880
84,8938752,507391,462566
88,2129375,309424,443807
90,6106,2069284,2997
102,819989,338586,2575
105,5571519,110121,157669
106,221442,6457003,4756560
116,1928306,5536458,71725
129,35594,395401,26458
138,505957,2468,811124
143,2254,5620985,2531
151,5415111,781101,3409608
152,376382,1047690,3267597
154,223214,1016161,5571519
159,12654,333690,5059224
160,5452183,7250741,408820
175,2994304,2994304,7358775
179,2971315,5536458,1229273
184,1728020,730305,369434
207,1468427,4703089,1522143
211,19923498,136336,309424
217,942730,3451935,225966
218,581,309424,7358775
219,2405243,2275709,7358775
220,1450002,4064,364619
225,852747,4947,338586
231,5095934,6019455,465346
236,361,960661,5620985
239,2347735,696560,1580274
240,2551585,624267,1628670
246,628416,395401,309424
250,1728020,507391,1484628
253,580,5571519,1281833
254,1728020,570242,2683
256,2216649,1031779,410890
273,992019,2365625,27982
278,5304919,608786,1040649
284,882049,2144135,1513
287,4097567,1766397,4003876
291,1100040,64492,35785
292,1802915,71337,309424
294,2073015,7358775,217428
298,2774462,1826087,506
299,479334,1728020,1726471
303,489498,4126,268129
308,1024283,309424,338586
316,309424,326390,3451935
320,16781085,3803389,392606
321,49473,992019,456384
322,2201838,5536458,338586
332,309424,904551,2476239
338,333690,5059224,4706995
339,26458,2301014,8938752
344,718292,338586,775576
347,82908,228275,5620985
350,280072,3867987,326390
353,1716918,262709,1688099
354,8139,7358775,164319
358,90962,3062874,1036479
360,5415111,333690,867108
362,292356,483379,1697195
369,4543270,4939439,734873
373,2816599,1213921,39603
395,504625,1969789,324546
401,2410920,5320307,2320075
403,2994304,338586,20639844
405,26458,1680583,1324903
420,5707,500104,225764
423,1552409,1688099,834314
433,527238,338586,527184
436,4654,1622521,8938752
451,12094564,474785,35594
456,2994304,3618745,6363277
457,1840823,198676,3959
463,128030,2367622,5133
468,1101155,326390,3451935
469,2532290,3503878,351890
475,20639844,331109,1766397
485,86062,5409993,44573
490,26458,26458,2281581
497,408166,992019,408820
500,3733945,3598982,2994304
501,3276242,309424,267306
502,1827828,802982,3718660
513,1174333,338586,526
518,1359689,309424,1040644
519,1688099,338586,2356507
523,268129,2277526,64492
536,354837,1353603,410890
551,242980,4499,1664574
561,2280164,1217557,2312
566,408820,6089399,4971234
575,1522143,316230,267223
578,338586,309424,26458
581,326390,7358775,129377
583,408820,15936368,3334229
592,333690,408820,6504858
597,262787,1827828,4180692
599,26458,605452,26458
600,457643,3583878,49226
601,922779,354837,794460
602,2607764,3695090,78896
604,1632007,410890,1895680
605,1688099,408820,5494321
608,2201827,3867987,2971315
611,2860263,3775694,338586
617,5146,410890,49898
619,5244,743690,2304978
625,1190006,2683,1040636
629,1515601,9503477,778
630,589,5415111,5101
637,13487,697799,507391
647,5497515,2994304,6061850
649,71238,854558,268765
652,309424,70771,464162
655,2098343,392351,2129375
659,1688099,2883,2327379
663,309424,309424,613087
676,5948174,3070900,491
679,4499,75712,1328580
691,2056336,1278690,20639844
698,364619,4654,309424
700,1613880,209722,628416
704,1297815,362698,309424
709,338586,93273,3889462
713,3802842,904551,508287
719,376382,4055,628416
727,2658991,26458,3936681
736,1284,110121,3451935
738,4730130,338586,165487
746,987522,26458,4875
752,766003,2581114,181389
765,1324737,1118206,3451935
770,1852162,1998500,354394
771,309424,6273,775891
786,3185,2673044,1091
791,6114,142442,1414586
801,309424,2003093,12399462
805,392111,4750493,5965768
808,83683,6110070,312552
809,165352,1218344,5658
830,4756560,1208771,2022
832,742471,7358775,2075
833,507391,255351,2204
836,406,309424,362749
837,1091,1012095,1209492
838,4064540,2836738,267306
841,338586,26787,2410920
863,309424,1035158,26458
873,5081787,150189,2862
874,93132,5415111,1244278
875,9503477,326390,86096
877,6363277,362370,49473
879,309424,2280229,5936
883,309424,26458,1167
898,5954170,365521,1707
905,3744703,326390,201
914,4050,713212,408820
916,274646,232603,1648196
918,2273216,309424,676691
922,198676,2268531,326390
929,326390,549671,326390
930,6348,1109307,1250522
945,2153294,410890,3457620
947,5537,6225,5415111
948,4206021,4212,4197
954,425,2971,392939
970,268129,6089399,410890
971,1982658,8938752,2949657
976,992019,326390,1672029
977,35785,758105,5059224
980,3409608,7250741,1206
991,1109307,392940,152717
1008,5365,6089399,5203
1009,1603104,4038,410890
