,0,1,2
1,9170,19533,18911
7,24118,7358,7378
14,19533,31801,16090
17,19496,9996,6103
22,11679,12435,28856
24,6103,9462,11679
27,32838,24944,9996
33,6071,32884,26372
35,14447,2650,1283
39,19494,25568,6104
41,32836,19494,19533
42,11679,26372,20
46,26679,14499,26679
49,30164,19496,2652
53,12471,27105,25198
58,28754,17628,30894
62,2650,12722,19369
65,33248,19496,18214
67,28754,32875,11679
71,15355,11839,14689
74,33248,12471,17532
77,11679,9997,19494
78,11679,136,24143
79,28773,19211,30894
81,19494,21767,25616
82,11679,14040,11679
84,25558,2650,30250
94,28754,19494,9996
95,2652,30734,16781
104,14486,15355,6143
110,10340,11679,11679
115,11839,16601,19496
119,9996,7581,6020
121,32875,17520,27056
124,32657,19496,32412
126,9996,1758,6143
127,26259,12722,1661
128,9624,12471,33434
130,19494,14517,30894
132,8637,2652,17532
135,7581,12523,18502
136,2818,28773,11839
139,14480,19369,12969
140,30256,19494,7396
143,28754,14040,7
145,28754,6143,27105
148,12523,16601,2628
149,33732,27868,11679
152,11851,2473,22035
154,9996,25611,26372
155,2652,6892,9997
157,2652,33435,7440
159,12471,26679,29743
161,6901,31457,21910
163,1823,11679,2652
166,32797,19494,26367
167,7394,11679,2623
171,11679,9996,19496
173,20898,11679,26612
174,9996,6071,6103
177,19496,13437,9997
179,2652,19494,9889
180,14451,1732,24143
182,28754,7382,28773
184,16684,17520,24908
186,1820,12990,32884
187,7607,20902,11798
202,28773,11679,31552
204,9996,12722,29327
208,1734,33248,33325
209,27868,28392,19494
210,19495,11679,12722
213,28581,21767,2652
215,1655,26374,32797
217,28773,1724,11679
221,14499,14488,27781
224,30239,11679,21274
225,20477,19494,19494
229,5519,11679,6020
230,19495,28754,331
233,11679,28659,11221
234,6020,15316,19533
235,6946,11679,11679
239,17532,27056,19369
240,33732,12471,32799
245,16231,1283,25578
247,27056,1724,24358
249,32797,14447,11679
251,6020,11679,28773
253,11679,29761,11221
255,26367,20549,14558
256,21907,19496,9996
258,9996,16090,2652
259,28132,19496,33903
262,2652,19494,7420
263,27105,2624,19494
264,3209,2652,2652
267,29743,1669,14237
271,6020,19494,17644
275,21908,27868,29791
277,18118,11679,28134
280,11679,13437,12471
281,12471,9715,32414
284,6946,10340,9996
287,13221,9996,32797
289,9996,6103,28773
292,2652,17520,26679
298,12471,26367,11679
299,24538,32875,9997
300,19494,25615,27835
301,32406,25198,6141
306,9996,30178,19496
310,14478,19496,31803
311,6347,17934,14530
314,28754,11679,30129
318,32849,11679,30042
322,19496,18911,14040
324,29365,19496,7307
325,24908,9996,24182
327,31285,2652,30894
328,9462,1675,28773
330,19535,272,29849
332,17628,19494,5012
334,28773,1819,21767
337,36,26372,32797
338,7581,28754,13412
341,12435,30031,11679
345,28392,3209,9997
346,11839,11679,19496
347,9996,19189,2652
348,19495,27105,9997
350,11802,14486,32835
353,2650,12989,31562
356,19496,21767,19533
360,19494,6946,12467
362,24143,1686,12722
364,6347,9997,6065
367,11679,33434,21854
372,24143,2670,12722
373,9943,6104,8633
375,28956,3209,18502
381,27781,33434,31879
384,28581,6347,28754
386,10340,26252,15273
389,6143,27056,9996
390,19535,20,20085
398,25753,5510,12471
399,31512,27105,19369
400,28773,21767,11679
410,12191,1732,14488
418,27868,19533,21274
431,19496,20875,32797
454,27473,11679,9996
472,1675,3595,19496
484,26371,11679,9996
631,12722,9997,12433
640,4825,48,1819
682,12471,12471,11817
700,2650,14815,32414
701,26372,11851,32799
702,11679,2650,6065
703,7379,12435,9949
706,12471,32875,27868
709,1675,24118,6105
713,11839,28773,28754
715,30709,9997,12678
716,1663,27907,12523
718,11631,32799,25198
719,32799,9996,32799
725,8899,49,20549
726,7396,7660,19535
733,11679,9996,12678
739,6035,14488,32875
741,14040,10340,136
743,1639,8120,27056
744,7440,269,3739
762,11679,26679,21767
782,12722,19494,7379
790,19533,31803,11300
795,2652,10127,14503
832,21767,19496,20477
843,331,28956,20510
898,27056,14499,11679
913,27105,28956,19211
917,6020,19496,13412
920,24143,24118,32405
922,9996,17948,33434
931,6946,33732,7607
932,30323,19494,12471
934,5012,11679,24143
936,9996,19494,16601
946,8905,19494,2652
955,33903,11802,1655
970,19496,16742,32799
981,15355,6526,32839
987,11679,9996,3457
988,31285,32875,12722
994,32849,30446,32835
995,24143,9996,6883
998,24933,27939,14569
