,0,1,2
3,DM-6417,DM-3942,TIMOB-19243
17,DM-1030,DM-5033,DM-1766
30,APSTUD-4393,DM-3909,DM-2084
31,DM-1061,DM-5620,DM-3647
34,DM-2051,DM-2397,DM-3685
35,DM-4567,DM-6448,DM-1155
42,DM-5620,DM-2314,DM-1711
44,DM-1627,DM-5008,DM-5929
46,DM-5468,DM-1708,MDL-46455
52,DM-1708,DM-1155,DM-1061
54,APSTUD-7575,DM-85,DM-1061
57,DM-5742,DM-5620,DM-1273
59,DM-3875,DM-5622,DM-2820
72,DM-1061,DM-3753,TIMOB-23309
87,TDQ-3692,DM-5962,DM-2881
88,DM-5612,DM-3641,DM-1769
101,DM-2084,DM-1987,TDQ-4189
103,DM-5556,DM-3005,DM-5420
115,DM-4689,DM-3871,DM-1036
119,DM-3921,DM-2881,DM-3545
127,DM-2300,TIMOB-12238,DM-3757
133,DM-1708,DM-5420,DM-1711
134,DM-4093,DM-1030,DM-1269
139,DM-5033,DM-3855,DM-6404
167,DM-1988,DM-1704,DM-3788
175,DM-2048,MDL-41960,DM-1703
177,DM-3757,DM-3647,DM-6400
180,BAM-11604,DM-3873,DM-3875
188,DM-4809,DM-5455,TIMOB-18571
194,DM-1170,APSTUD-4732,DM-2572
199,DM-3757,DM-5300,DM-1490
200,XD-1694,DM-3751,DM-3921
208,DM-5612,DM-5468,DM-5620
210,DM-6448,DM-5612,DM-1273
217,DM-1269,DM-1261,TISTUD-1875
218,DM-2119,DM-1858,DM-1992
221,DM-3751,DM-85,DM-2118
230,XD-1034,TIMOB-9552,DM-5858
231,DM-3005,DM-1030,DM-2286
239,DM-5929,DM-1155,DM-5033
247,DM-4364,MDL-45754,TIMOB-19374
251,DM-2881,DM-1079,DM-5171
257,DM-3921,DM-1711,DM-5612
259,TIMOB-10870,DM-5033,DM-2042
263,DM-1708,DM-2807,DM-3751
265,DM-1711,DM-5556,DM-3647
273,DM-3751,DM-6394,DM-3757
274,DM-3003,DM-4809,DM-5929
278,DM-5620,DM-2207,DM-6629
280,TIMOB-19093,DM-1061,DM-85
283,DM-5399,DM-6394,DM-6168
290,DM-1711,TIMOB-16909,TISTUD-875
291,TIMOB-8832,TIMOB-17924,DM-1269
300,DM-2072,DM-2881,TIMOB-12226
308,DM-4809,DM-2207,DM-5420
311,DM-2207,DM-2207,TDQ-4570
313,DM-85,DM-1860,DM-1708
315,DM-5110,STUDIO-4742,TISTUD-2785
316,TIMOB-20601,DM-5691,DM-2572
322,DM-1769,DM-4758,DM-3822
323,DM-4401,DM-3757,TDQ-4977
326,DM-6196,TIMOB-9840,TIMOB-10877
327,TISTUD-1730,DM-3394,TISTUD-4816
334,DM-5858,DM-2881,DM-5929
335,DM-3757,STUDIO-6219,DM-6405
341,DM-2045,DM-2881,DM-2117
344,DM-3785,TIMOB-18509,TIMOB-17917
345,DM-2065,DM-2070,DM-2042
346,DM-1704,DM-1988,DM-1708
351,DM-1977,TESB-274,DM-2042
353,DM-6107,DM-2042,DM-875
360,DM-4401,DM-3751,DM-1350
367,DM-5401,DM-5929,DM-3822
369,MULE-7931,DM-2396,DM-1033
379,DM-2119,DM-3908,DM-1261
383,DM-1155,DM-3581,DM-2119
385,DM-2042,DM-4337,DM-1030
396,DM-3921,DURACLOUD-554,DM-2207
397,DM-2881,DM-5612,DM-2042
399,DM-5033,DM-1159,MDL-40907
407,DM-6202,DM-4401,DM-3757
408,DM-3787,DM-2207,DM-3757
409,TISTUD-1068,DM-3237,DM-3822
410,DM-1266,DM-2116,DM-2225
423,DM-375,DM-2049,DM-2181
424,DM-5262,USERGRID-593,DM-5612
428,DM-5455,DM-2042,USERGRID-584
431,DM-3822,DM-3822,DM-3908
433,TIMOB-19384,MDL-35009,DM-2826
438,DM-599,DM-3869,DM-5300
447,DM-3674,DM-2603,DM-2558
451,DM-6448,DM-1030,DM-1158
457,DM-5929,DM-4588,DM-6697
459,DM-5622,XD-2585,DM-2088
466,DM-6454,DM-5508,MDL-43137
467,DM-5110,XD-1122,DM-1988
469,MDL-41856,DM-2072,DM-5612
474,DM-3921,DM-1561,TDQ-8256
478,TIMOB-9142,DM-214,DM-5300
482,DM-1037,DM-2061,DM-2003
484,DM-5556,DM-3634,DM-2603
491,DM-4337,DM-6448,DM-2181
499,DM-3751,DM-6448,DM-4401
501,DM-2042,DM-1269,DM-5422
503,DM-3858,DM-4357,TIMOB-17917
509,DM-5114,DM-1031,MESOS-4380
512,DM-2119,DM-2051,MDL-44881
513,APSTUD-190,DM-1123,DM-1991
516,DM-4001,DM-2042,DM-5113
520,DM-4337,TIMOB-17924,DM-1767
531,TIMOB-18816,DM-2300,DM-5907
538,DM-5110,DM-5612,MDL-41187
547,XD-2180,DM-3579,DM-1136
554,DM-6394,TDQ-4189,DM-5426
563,DM-3833,DM-1377,DM-4426
575,DM-3595,DM-2048,DM-5958
576,DM-3909,DM-6286,DM-6849
584,DM-6538,TISTUD-5345,DM-1155
585,DM-1030,DM-1874,DM-3548
586,DM-1874,DM-3921,DM-2207
606,DM-6918,DM-5033,DM-6225
610,DM-6202,DM-6196,DM-1377
616,TIMOB-9788,DM-3170,TISTUD-7043
618,DM-2065,DM-5620,APSTUD-7180
624,DM-2116,DM-2207,DM-5519
631,DM-1377,DM-2300,DM-3751
635,DM-2250,DM-1136,DM-6394
640,DM-6168,DM-2207,DM-2125
643,DM-2053,DM-3757,DM-5742
647,DM-3263,DM-5395,DM-5556
649,DM-2118,DM-5519,DM-1030
651,DM-5262,TIMOB-9142,DM-2113
655,DM-214,DM-5008,DM-5907
664,DM-6394,DM-6057,XD-2022
668,XD-3294,XD-984,DM-2225
673,DM-5505,TIMOB-17631,DM-1061
674,DM-5112,DM-5858,DM-1111
681,DM-1708,DM-3751,DM-3822
683,DM-2207,DM-1988,DM-2084
688,DM-5300,DM-5620,DM-6225
695,DM-3923,DM-5994,DM-1061
696,DM-6397,DM-4171,DM-5647
697,MESOS-3753,TISTUD-6304,DM-1031
708,DM-3751,TIMOB-20140,DM-5401
715,DM-2111,DM-3757,DM-3872
718,DM-4337,DM-3700,MDL-24775
720,DM-3751,DM-6160,DM-2207
725,DM-6196,DM-1033,DM-5612
733,DM-1704,DM-2042,TISTUD-5392
735,DM-2191,DM-5033,DM-5117
738,DM-5201,DM-3216,DM-3757
742,DM-1704,DM-2069,DM-5033
744,DM-5623,DM-3134,DM-1269
776,XD-1781,DM-5033,DM-2881
790,DM-4999,DM-4242,DM-2230
795,DM-1143,DM-1122,DM-1961
803,DM-1034,TIMOB-18215,DM-3559
812,DM-6242,DM-1155,MDL-47006
817,DM-3923,DM-6241,DM-1121
819,DM-3923,DM-1061,DM-2116
826,DM-4193,DM-5994,DM-5623
828,DM-2207,DM-2071,DM-1708
838,DM-3552,DM-6394,DM-3263
843,DM-1273,DM-6225,DM-2882
852,DM-3859,TIMOB-10849,DM-5080
856,XD-2261,XD-1338,DM-5008
866,TDQ-4926,DM-246,DM-1269
875,DM-6448,TIMOB-18940,DM-6113
878,DM-3751,DM-5508,DM-3757
880,DM-3822,DM-3875,TIMOB-19841
898,DM-5929,DM-5519,DM-3263
905,DM-5033,DM-1061,DM-861
907,DM-3878,DM-5300,DM-1030
911,DM-2225,DM-736,DM-2042
913,DM-2300,USERGRID-641,TDQ-6291
921,TIMOB-10275,TIMOB-10873,DM-5908
927,DM-85,MESOS-2836,DM-3878
928,DM-1061,DM-4968,DM-1890
936,DM-1111,DM-1977,DM-1269
945,DM-5415,DM-3552,DM-2042
960,DM-4950,DM-5623,DM-3921
962,DM-5455,DM-3788,DM-6731
963,DM-5171,DM-1121,DM-5612
970,MDL-42898,DM-3600,DM-1711
971,DM-2119,TIMOB-10873,DM-4253
977,DM-2048,DM-1988,DM-2845
980,DM-690,DM-658,DM-5300
984,DM-3581,DM-1030,XD-1040
993,DM-6204,DM-2225,DM-4966
996,TIMOB-12238,DM-5033,DM-6405
1006,DM-1968,TIMOB-2231,DM-5033
1011,DM-1562,MDL-35928,DM-1266
1020,DM-3135,MESOS-5437,MESOS-5391
1027,DM-4434,DM-300,DM-6447
1034,DM-3858,DM-5468,DM-1238
1035,DM-2070,DM-5008,DM-4070
1045,DM-5623,TISTUD-5365,DM-2037
1052,DM-5395,DM-5300,DM-1708
1053,DM-3757,DM-6242,DM-5612
1056,DM-2667,DM-6405,DM-3751
1061,DM-3859,DM-2734,TIMOB-9840
1063,DM-6196,DM-5612,DM-5620
1065,DM-2881,DM-5519,TIMOB-15339
1077,DM-6405,DM-2036,TISTUD-3256
1078,DM-3908,DURACLOUD-566,DM-1968
1084,DM-1708,XD-3233,TDQ-8020
1087,DM-1877,DM-5994,BAM-9029
1092,DM-1711,DM-5380,DM-3875
1097,DM-4401,DM-3869,DM-1061
1106,DM-5508,DM-4809,DM-5300
1114,DM-6394,DM-1262,DM-3394
1122,DM-1772,DM-5858,DM-3882
1131,DM-2882,DM-3751,DM-5300
1144,DM-5929,DM-1036,DM-2113
1147,DM-4651,DM-5929,DM-6394
1158,DM-3787,TDQ-4926,DM-6113
1163,DM-1977,DM-1036,TIMOB-19969
1166,DM-3908,DM-5611,DM-1708
1182,DM-1061,DM-5404,DM-5111
1187,DM-3858,DM-1061,DM-6226
1190,DM-5958,DM-2881,DM-2932
1192,DM-5620,DM-2088,DM-1123
1197,DM-5929,DM-2250,DM-6394
1199,DM-4401,DM-6418,DM-5519
1201,DM-1711,DM-6629,TDQ-9617
1202,DM-6893,DM-2314,DM-2881
1205,DM-5949,DM-1871,DM-5608
1206,DM-2658,XD-1787,DM-6202
1215,TISTUD-1631,DM-5300,DM-2065
1227,DM-3921,DM-214,DM-2397
1243,DM-1037,TISTUD-2169,STUDIO-4572
1246,DM-3493,DM-2072,DM-5623
1258,DM-3642,DM-1061,DM-3942
1261,STUDIO-4742,DM-6407,DM-6394
1272,DM-3757,DM-2286,DM-3788
1282,DM-5510,DM-5556,DM-4314
1288,DM-2265,DM-5612,DM-6196
1290,DM-1030,DM-2814,DM-2065
1297,DM-3875,DM-5556,DM-2119
