,0,1,2
3,518276471,834740790,435407
4,571923,567478553,601077
5,406783201,703140339,444022870
9,87392,631070338,16029
16,373851878,541141,519660699
34,658226864,516160873,362923057
54,443257669,272505864,650173759
55,514679,351097172,717928534
64,176723051,428602,736227422
66,567444807,335618243,160227
77,439952944,754587862,552056351
94,470495052,395803,463119685
98,524573808,51699,563358419
114,784615888,717776996,624519580
116,214928,167902244,180837
117,812068171,579975105,9203
119,389636,596159897,490132792
125,3571,661510731,406820149
126,442081506,463,408762665
127,270650,210463,514000307
130,299658282,554589930,283185393
133,352158611,567479681,313259912
137,502885319,374049900,567422596
143,557923,611680052,784046710
146,331355,378511,524564173
154,584777959,622446228,574206
160,753719755,375002604,460396163
161,232210,776123970,306274292
164,417446560,502882993,356349895
189,592961430,406834293,401633016
190,414736816,365262394,414685810
197,297910810,647085168,288321383
200,728306688,524573808,407588200
201,449946,631048514,168778193
202,224911605,544708455,317171
206,631056651,362392235,801529596
223,567458866,292839,355841848
224,240255,567461210,514741996
225,471952976,472520611,345251946
232,394928255,403298346,728301628
235,809871870,584772305,74088452
241,7432,459311,567447254
242,567509702,586338,10132
249,415108211,548276060,324547835
253,87333,396616582,531871579
255,398273426,493068,550399490
260,398273426,534296,554519700
262,547004,340635948,574206
280,558797851,551619400,567448039
285,631048209,87339,161204
301,524578948,418976170,631057922
302,631042797,584772305,544748701
320,551619400,417819908,169219
327,518750671,567642423,808875885
335,37925,728301628,555344
337,477115,233673845,37571
341,596160522,508809153,178116
345,331355,175213111,650271925
357,556453,387239592,199701
362,632348444,312768,421118913
364,546296,362406756,365040144
375,208102,582887,649879988
379,581917,374159697,649879988
384,415108211,834740790,548497923
385,752301544,571876,567459470
388,396459318,490039665,39850
391,419709338,541413860,571812
395,477115,406074,808875885
404,356349895,202446,379657
412,381637584,315824256,460278821
417,322603357,768898772,296791437
419,316150052,5319,834740790
455,299676160,544718313,199701
466,535890423,816940682,524570525
467,60882069,457868,598364042
470,357688,567512358,414747822
474,708963595,816918497,430587200
477,213288936,567447254,297241413
488,261695,703181973,500969741
